id,comment
__import__.customer_1007,"Si absent: déposer dans cagibis en face. Bac en frigolite
à disposition pour produits frigo."
__import__.customer_1649,"Porte à droite de la porte d'entrée cabinet; déposer sur la
table à gauche. Pour les frigos: frapper à la porte de
gauche. Refermer la porte à clé en partant même si elle
était ouverte en arrivant."
__import__.customer_1743,"NE PLUS LIVRER A WAUDREZ!!
Déposer colis sous l'escalier: bac mis à disposition pour y
déposer les colis. SACS DE NOURRITURE Y COMPRIS!! Sinon les
chats les déchirent!!"
__import__.customer_337,"NE LIVRER QUE LES LUNDIS ET VENDREDIS!
Si absent, note d'envoi ds boîte à lettres et livrer au nr
13.  Signaler les produits froids."
__import__.customer_3382,"Si absent, livrer rue de la Chaudronnerie, 29 Houdeng-
Goegnies, 1ère rue à droite après ALDI."
__import__.customer_3403,"si absent: Livrer n° 82. N.E. dans boite au lettre au n° 80
et indiquer dessus l'endroit où a été déposé le colis."
__import__.customer_3828,"Clé du cabinet dispo. Déposer colis dans le couloir et si
colis frigo: déposer dans le cabinet (frigo disponible)"
__import__.customer_399,"NE PAS LIVRER DU 24/9 AU 5/10/2018 INCLUS
En cas d'absence, déposer les commandes dans le garage; un
frigo-box est à disposition pour les produits froids."
__import__.customer_4204,"Si absent: rentrer par la porte du privé (clé dispo).
ALARME: pousser sur la maison avec petit bonhomme DANS la
maison + faire code: 0142 pour désactiver. Pour réarmer:
pousser sur bonhomme EN DEHORS de la maison + code 0142."
__import__.customer_4964,"clé dipo. Descendre les escaliers et déposer colis frigos
dans le frigo de la salle de consult. Autres colis aussi
dans la salle de consult. NE PLUS LIVRER CHEZ le Dr BLONDIAU
GSM véto: 0475/604727"
__import__.customer_6814,
__import__.customer_7272,"clé dispo
Mettre notes d'envoi sous la porte du cabinet (ne pas
les laisser dans la salle d'attente avec les colis)"
__import__.customer_801,"Si absent: livrer à l'Immobilière T&B en face (Blvd des
Anglais n°1)"
__import__.customer_8305,"Si absent: Déposer colis contre la fenêtre à gauche du
bâtiment"
__import__.customer_849,"Si absente, déposer au magasin articles de pêche situé dans
la même rue"
__import__.customer_9063,"Si absent: déposer colis dans garage, il est toujours
ouvert."
__import__.customer_9103,Livraison: dernière porte sur la gauche
__import__.customer_9188,"Il faut livrer à l'arrière du cabinet vétérinaire via la
Rue Dorlot. MAIS les gros sacs doivent être livrés à l'avant
au cabinet (via la Place)"
__import__.customer_9278,"fixe: 084/37 72 88
Si absent: déposer sous le carport sur le côté de la
maison."
__import__.customer_9374,"Clé de la porte d'entrée dispo. Déposer colis dans
l'entrée."
__import__.customer_9391,"Sonner et pousser en même temps pour ouvrir la porte.
Déposer la commande dans le couloir."
