id,additional_product_id/id
__import__.product_0136473,__import__.product_5040000
__import__.product_0306158,__import__.product_5306158
__import__.product_0430397,__import__.product_5430397
__import__.product_0430398,__import__.product_5430397
__import__.product_0450767,__import__.product_5450767
__import__.product_0877332,__import__.product_5877340
__import__.product_0877340,__import__.product_5877340
__import__.product_0877365,__import__.product_5877365
__import__.product_1002021,__import__.product_5173360
__import__.product_1013432,__import__.product_5173360
__import__.product_1013465,__import__.product_5173360
__import__.product_1064484,__import__.product_5173360
__import__.product_1073352,__import__.product_5173360
__import__.product_1073360,__import__.product_5173360
__import__.product_1073378,__import__.product_5173360
__import__.product_1073386,__import__.product_5173360
__import__.product_1077585,__import__.product_5173360
__import__.product_1101997,__import__.product_5173360
__import__.product_1128966,__import__.product_5173360
__import__.product_1128974,__import__.product_5173360
__import__.product_1146919,__import__.product_5146919
__import__.product_1157486,__import__.product_5173360
__import__.product_1157494,__import__.product_5173360
__import__.product_1202671,__import__.product_5202689
__import__.product_1202689,__import__.product_5202689
__import__.product_1202845,__import__.product_5202845
__import__.product_1202897,__import__.product_5202897
__import__.product_1202898,__import__.product_5202897
__import__.product_1203058,__import__.product_5173360
__import__.product_1203074,__import__.product_5173360
__import__.product_1203439,__import__.product_5110006
__import__.product_1204429,__import__.product_5000429
__import__.product_1204437,__import__.product_5204437
__import__.product_1300227,__import__.product_5173360
__import__.product_1300235,__import__.product_5173360
__import__.product_1300243,__import__.product_5173360
__import__.product_1311265,__import__.product_5311265
__import__.product_1361179,__import__.product_5040000
__import__.product_1361187,__import__.product_5040000
__import__.product_1384023,__import__.product_5384023
__import__.product_1401389,__import__.product_5173360
__import__.product_1401397,__import__.product_5173360
__import__.product_1405554,__import__.product_5405554
__import__.product_1451843,__import__.product_5451843
__import__.product_1610294,__import__.product_5610294
__import__.product_1610302,__import__.product_5610294
__import__.product_1685361,__import__.product_5230000
__import__.product_1778158,__import__.product_5853265
__import__.product_2054799,__import__.product_5054799
__import__.product_2061265,__import__.product_5061274
__import__.product_2061273,__import__.product_5061274
__import__.product_2061281,__import__.product_5610297
__import__.product_2061299,__import__.product_5610297
__import__.product_2085397,__import__.product_5600876
__import__.product_2247864,__import__.product_5247880
__import__.product_2247880,__import__.product_5247880
__import__.product_2247906,__import__.product_5247880
__import__.product_2251841,__import__.product_5173360
__import__.product_2251858,__import__.product_5173360
__import__.product_2251866,__import__.product_5173360
__import__.product_2251874,__import__.product_5173360
__import__.product_2251882,__import__.product_5173360
__import__.product_2263267,__import__.product_5173360
__import__.product_2310399,__import__.product_5173360
__import__.product_2319010,__import__.product_5173360
__import__.product_2319036,__import__.product_5173360
__import__.product_2331361,__import__.product_5331388
__import__.product_2331387,__import__.product_5331388
__import__.product_2342129,__import__.product_5173360
__import__.product_2351336,__import__.product_5173360
__import__.product_2408789,__import__.product_5408789
__import__.product_2437226,__import__.product_5173360
__import__.product_2437234,__import__.product_5173360
__import__.product_2441350,__import__.product_5173360
__import__.product_2519452,__import__.product_5519452
__import__.product_2563401,__import__.product_5230000
__import__.product_2593267,__import__.product_5173360
__import__.product_2605228,__import__.product_5061275
__import__.product_2624229,__import__.product_5620096
__import__.product_2624237,__import__.product_5620096
__import__.product_2624252,__import__.product_5170001
__import__.product_2624260,__import__.product_5170001
__import__.product_2624294,__import__.product_5170001
__import__.product_2680544,__import__.product_5620095
__import__.product_2680551,__import__.product_5620095
__import__.product_2691723,__import__.product_5173360
__import__.product_2709707,__import__.product_5173360
__import__.product_2709715,__import__.product_5173360
__import__.product_2709822,__import__.product_5173360
__import__.product_2745305,__import__.product_2774677
__import__.product_2805091,__import__.product_5620007
__import__.product_2805109,__import__.product_5620007
__import__.product_2805117,__import__.product_5620007
__import__.product_2805125,__import__.product_5620007
__import__.product_2853265,__import__.product_5853265
__import__.product_2884922,__import__.product_5173360
