"id","name","active","category_id/id","esb_ref"
"product.product_uom_cm","cm",FALSE,"product.uom_categ_length",
"product.product_uom_dozen","Dozen(s)",FALSE,"product.product_uom_categ_unit",
"product.product_uom_floz","fl oz",FALSE,"product.product_uom_categ_vol",
"product.product_uom_gram","g",TRUE,"product.product_uom_categ_kgm",
"product.product_uom_gal","gal(s)",FALSE,"product.product_uom_categ_vol",
"product.product_uom_hour","Hour(s)",FALSE,"product.uom_categ_wtime",
"product.product_uom_day","Day(s)",FALSE,"product.uom_categ_wtime",
"product.product_uom_kgm","kg",TRUE,"product.product_uom_categ_kgm",
"product.product_uom_km","km",FALSE,"product.uom_categ_length",
"product.product_uom_lb","lb(s)",FALSE,"product.product_uom_categ_kgm",
"product.product_uom_litre","l",TRUE,"product.product_uom_categ_vol",
"product.product_uom_mile","mile(s)",FALSE,"product.uom_categ_length",
"product.product_uom_oz","oz(s)",FALSE,"product.product_uom_categ_kgm",
"product.product_uom_foot","foot",FALSE,"product.uom_categ_length",
"product.product_uom_inch","inch(es)",FALSE,"product.uom_categ_length",
"product.product_uom_qt","qt",FALSE,"product.product_uom_categ_vol",
"product.product_uom_ton","t",FALSE,"product.product_uom_categ_kgm",
"product.product_uom_meter","mètre",TRUE,"product.uom_categ_length","2"
"product.product_uom_unit","pièce",TRUE,"product.product_uom_categ_unit","0"
"__setup__.product_uom_sac","sac",TRUE,"product.product_uom_categ_unit","7"
"__setup__.product_uom_boite","boîte",TRUE,"product.product_uom_categ_unit","8"
"__setup__.product_uom_blister","blister",TRUE,"product.product_uom_categ_unit","16"
"__setup__.product_uom_plateau","plateau",TRUE,"product.product_uom_categ_unit","17"
"__setup__.product_uom_liasse","liasse",TRUE,"product.product_uom_categ_unit","55"
"__setup__.product_uom_flacon","flacon",TRUE,"product.product_uom_categ_unit","56"
