id,ref,name,street,zip,city,phone,fax,email,vat,delivery_lead_time,customer,supplier,alcyon_category_id/id,property_account_payable_id/id,country_id/id,lang,is_purchase_back_order_accepted,supplier_discount,mobile,property_account_position_id/id,property_supplier_payment_term_id/id,supplier_payment_mode_id/id
__import__.supplier_32410,32410,DIETETIC LABS,Rue Z.Gramme 58,4280,HANNUT,019/51.61.03,019516103,,,15,False,True,specific_partner.partner_category_supplier,__setup__.account_440000,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_32420,32420,NATURAL ANIMAL FEEDS LTD,Wonaqtow Road Ind. Estate West,NP25 5JA,MONMOUTH,,00441600710700,,GB378929580,15,False,True,specific_partner.partner_category_supplier,__setup__.account_440000,base.uk,fr_BE,True,0,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_32425,32425,NUTRIQUINE S.A.,INDUSTRIEWEG 11B,9031,DRONGEN,09/242.82.20,092428230,info@vip-products.com,,7,False,True,specific_partner.partner_category_supplier,__setup__.account_440000,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_51100,51100,JGP EURODIFFUSION,Route de Durbuy 66,6940,DURBUY,086/434526,,,BE0502758423,15,False,True,specific_partner.partner_category_supplier,__setup__.account_440000,base.be,fr_BE,True,,0475/936240,__setup__.fiscal_position_nat,__setup__.account_payment_term_d7,__setup__.account_payment_mode_out_sep
__import__.supplier_60201,60201,ALCYON CONSO INTERNE,,4530,VILLERS LE BOUILLET,,,,,0,False,True,specific_partner.partner_category_supplier,__setup__.account_440100,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_cr,__setup__.account_payment_mode_out_man
__import__.supplier_60202,60202,REPRISE VETICOM,,,,,,,,15,False,True,specific_partner.partner_category_supplier,__setup__.account_440100,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_dom
__import__.supplier_60300,60300,ALCATEL E BUSINESS DISTRIBUT,Excelsiorlaan 71 73,1930,ZAVENTEM,02/718 85 11,02/718 85 80,,BE0430704051,15,False,True,specific_partner.partner_category_supplier,__setup__.account_440100,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_f30,__setup__.account_payment_mode_out_sep
__import__.supplier_60308,60308,ATELIERS DE BLICQUY,"rue du Couvent, 38",7903,BLICQUY,069/66 96 90,069669699,,BE0407408512,15,False,True,specific_partner.partner_category_supplier,__setup__.account_440000,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_60309,60309,ATRAMEF S.A.,Nijverheidsstraat 18,9070,DESTELBERGEN,09/2281961,09/2287522,,BE0404511081,15,False,True,specific_partner.partner_category_supplier,__setup__.account_440100,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_60310,60310,L'ARCHE DU GOURMET,Chaussée de Wavre 504/14 bis,1390,GREZ-DOICEAU,010/889202,010/889435,,BE0462043959,15,False,True,specific_partner.partner_category_supplier,__setup__.account_440100,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_immediate,__setup__.account_payment_mode_out_sep
