id,name,usage,kind,zone,corridor,shelf,height,box,location_id/id,barcode_picking_type_id/id,bin_checksum_1,bin_checksum_2,picking_zone_id/id
"__setup__.stock_location_AA01R1","AA01R1",internal,reserve,A,"A","01","R","1","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","89","89","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01R2","AA01R2",internal,reserve,A,"A","01","R","2","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","71","71","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01R3","AA01R3",internal,reserve,A,"A","01","R","3","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","64","64","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01R4","AA01R4",internal,reserve,A,"A","01","R","4","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","20","20","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01S1","AA01S1",internal,reserve,A,"A","01","S","1","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","55","55","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01S2","AA01S2",internal,reserve,A,"A","01","S","2","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","41","41","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01S3","AA01S3",internal,reserve,A,"A","01","S","3","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","86","86","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01S4","AA01S4",internal,reserve,A,"A","01","S","4","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","16","16","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01T1","AA01T1",internal,reserve,A,"A","01","T","1","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","60","60","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01T2","AA01T2",internal,reserve,A,"A","01","T","2","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","90","90","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01T3","AA01T3",internal,reserve,A,"A","01","T","3","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","98","98","__setup__.picking_zone_aliments"
"__setup__.stock_location_AA01T4","AA01T4",internal,reserve,A,"A","01","T","4","__import__.location_row_reserve_AA","__setup__.stock_picking_type_reassort_ali","70","70","__setup__.picking_zone_aliments"
