id,location_id/id,product_id/id,product_qty
__import__.stock_inventory_line_with_serial_8193783,__import__.location_loc_EXZ000,__import__.product_8193783,0
__import__.stock_inventory_line_with_serial_8193719,__import__.location_loc_EXT633,__import__.product_8193719,1
__import__.stock_inventory_line_with_serial_8193725,__import__.location_loc_EXT501,__import__.product_8193725,0
__import__.stock_inventory_line_with_serial_8193843,__import__.location_loc_EXP000,__import__.product_8193843,0
__import__.stock_inventory_line_with_serial_8193872,__import__.location_loc_EXP000,__import__.product_8193872,0
__import__.stock_inventory_line_with_serial_5967003,__import__.location_loc_EXV400,__import__.product_5967003,76
__import__.stock_inventory_line_with_serial_5967004,__import__.location_loc_EXV401,__import__.product_5967004,107
__import__.stock_inventory_line_with_serial_5967005,__import__.location_loc_EXV302,__import__.product_5967005,135
__import__.stock_inventory_line_with_serial_5165352,__import__.location_loc_EXV200,__import__.product_5165352,16
__import__.stock_inventory_line_with_serial_8193889,__import__.location_loc_EXT342,__import__.product_8193889,0
__import__.stock_inventory_line_with_serial_8193702,__import__.location_loc_EXT342,__import__.product_8193702,0
__import__.stock_inventory_line_with_serial_8216403,__import__.location_loc_EXP000,__import__.product_8216403,0
__import__.stock_inventory_line_with_serial_8193845,__import__.location_loc_EXP000,__import__.product_8193845,0
__import__.stock_inventory_line_with_serial_5065361,__import__.location_loc_EXV300,__import__.product_5065361,63
__import__.stock_inventory_line_with_serial_5039032,__import__.location_loc_EXV000,__import__.product_5039032,56
__import__.stock_inventory_line_with_serial_5039033,__import__.location_loc_EXV304,__import__.product_5039033,0
