id,active
__import__.customer_7259,False
__import__.customer_7621,False
__import__.customer_address_delivery_9090,False
__import__.customer_8752,False
__import__.customer_5155,False
__import__.customer_6875,False
__import__.customer_5011,False
__import__.customer_3997,False
__import__.customer_5973,False
__import__.customer_5974,False
__import__.customer_5975,False
__import__.customer_5976,False
__import__.customer_5977,False
__import__.customer_5978,False
__import__.customer_5979,False
__import__.customer_5980,False
__import__.customer_5981,False
__import__.customer_5982,False
__import__.customer_5983,False
__import__.customer_5984,False
__import__.customer_5986,False
__import__.customer_5987,False
__import__.customer_5988,False
__import__.customer_5989,False
__import__.customer_5990,False
__import__.customer_5991,False
__import__.customer_5992,False
__import__.customer_5993,False
__import__.customer_5994,False
__import__.customer_5995,False
__import__.customer_5996,False
__import__.customer_5997,False
__import__.customer_5998,False
__import__.customer_5999,False
__import__.customer_6000,False
__import__.customer_6001,False
__import__.customer_6004,False
__import__.customer_6011,False
__import__.customer_6012,False
__import__.customer_6013,False
__import__.customer_6014,False
__import__.customer_6030,False
__import__.customer_6037,False
__import__.customer_6032,False
__import__.customer_6025,False
__import__.customer_6045,False
__import__.customer_6033,False
__import__.customer_6034,False
__import__.customer_6044,False
__import__.customer_6054,False
__import__.customer_6056,False
__import__.customer_6057,False
__import__.customer_6058,False
__import__.customer_6061,False
__import__.customer_6035,False
__import__.customer_6036,False
__import__.customer_6070,False
__import__.customer_6068,False
__import__.customer_6079,False
__import__.customer_6081,False
__import__.customer_5985,False
__import__.customer_6029,False
__import__.customer_6020,False
__import__.customer_6038,False
__import__.customer_6046,False
__import__.customer_6047,False
__import__.customer_6051,False
__import__.customer_6066,False
__import__.customer_6072,False
__import__.customer_6083,False
__import__.customer_6082,False
__import__.customer_6002,False
__import__.customer_6003,False
__import__.customer_6005,False
__import__.customer_6006,False
__import__.customer_6007,False
__import__.customer_6008,False
__import__.customer_6009,False
__import__.customer_6015,False
__import__.customer_6016,False
__import__.customer_6017,False
__import__.customer_6018,False
__import__.customer_6024,False
__import__.customer_6019,False
__import__.customer_6021,False
__import__.customer_6022,False
__import__.customer_6023,False
__import__.customer_6027,False
__import__.customer_6026,False
__import__.customer_6060,False
__import__.customer_6059,False
__import__.customer_6039,False
__import__.customer_6040,False
__import__.customer_6041,False
__import__.customer_6031,False
__import__.customer_6052,False
__import__.customer_6028,False
__import__.customer_6042,False
__import__.customer_6043,False
__import__.customer_6048,False
__import__.customer_6049,False
__import__.customer_6050,False
__import__.customer_6053,False
__import__.customer_6055,False
__import__.customer_6078,False
__import__.customer_6062,False
__import__.customer_6063,False
__import__.customer_6064,False
__import__.customer_6065,False
__import__.customer_6069,False
__import__.customer_6067,False
__import__.customer_6071,False
__import__.customer_6074,False
__import__.customer_6075,False
__import__.customer_6076,False
