id,default_delivery_block/id
__import__.customer_7322,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_1946,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_1524,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_5754,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_6947,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_3845,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_7052,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_7077,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_4408,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_1207,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_4964,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_6737,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_2441,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_8388,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_5780,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_3750,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_5706,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_3993,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_709,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_8728,sale_stock_picking_blocking.pay_before_delivery
__import__.customer_427,sale_stock_picking_blocking.pay_before_delivery
