id,bin_location_id/id
__import__.product_stock_bin_1071460,__import__.location_loc_EXP000
__import__.product_stock_bin_2582740,__import__.location_loc_GB17C8
__import__.product_stock_bin_2917045,__import__.location_loc_GA05E3
__import__.product_stock_bin_5221014,__import__.location_loc_AH04B3
__import__.product_stock_bin_5248006,__import__.location_loc_GF26E0
__import__.product_stock_bin_5260571,__import__.location_loc_EXT445
__import__.product_stock_bin_5273454,__import__.location_loc_GG06C0
__import__.product_stock_bin_5283609,__import__.location_loc_AD03A0
__import__.product_stock_bin_5610586,__import__.location_loc_GE07D8
__import__.product_stock_bin_5764211,__import__.location_loc_GG19F0
__import__.product_stock_bin_5840326,__import__.location_loc_GF25C7
__import__.product_stock_bin_7920051,__import__.location_loc_GZZ302
__import__.product_stock_bin_8286869,__import__.location_loc_GZZ269
