id,price,product_code
__import__.supplierinfo_73646-6450009,136.80,AW006064 418-DTC X-L
__import__.supplierinfo_73657-8229222,9.96,205111856
__import__.supplierinfo_73657-8229239,9.96,205111924
__import__.supplierinfo_73657-8229245,10.94,205112082
__import__.supplierinfo_73657-8229251,10.94,205112150
__import__.supplierinfo_73657-8229268,13.68,205112396
__import__.supplierinfo_73657-8229274,13.68,205112464
__import__.supplierinfo_73657-8229280,17.08,205112532
__import__.supplierinfo_73657-8229297,16.41,205112600
__import__.supplierinfo_73657-8229305,19.93,205112778
__import__.supplierinfo_73657-8229311,19.93,205112846
__import__.supplierinfo_73657-8229328,10.94,205113140
__import__.supplierinfo_73657-8229334,10.94,205113218
__import__.supplierinfo_73657-8229340,11.76,205113386
__import__.supplierinfo_73657-8229357,11.76,205113454
__import__.supplierinfo_77420-5013086,55.20,666408
__import__.supplierinfo_79000-5080404,170.04,PF12112 1039710
__import__.supplierinfo_95104-5045148,224.68,707-800-70
