id,ratio_main_product,list_price,weight,orderpoint_max,medical_device,standard_price,default_code,storage_temperature_id/id,create_date,categ_id/id,unit_in_shrink_wrap,unit_in_box,manufacturer/id,length,width,state_id/id,orderpoint_min,type,veterinary_only,barcode,taxes_id/id,indicated_price,unit_in_pallet,orderpoint_qty_multiple,supplier_taxes_id/id,tracking,active,cnk_code,sale_delay,web_published,name,uom_id/id,ratio_additional_product,depth,route_ids/id,price_category_id/id,uom_po_id/id
__import__.product_519084,0,11.54,1.2,0,,9.89,519084,specific_product.product_storage_temperature_ambient,2018-06-08,specific_data.product_categ_mat_conso,0,0,__import__.supplier_61920,12,12,specific_purchase.product_state_l,0,product,,,l10n_be.1_attn_VAT-OUT-06-L,17.73,0,0,l10n_be.1_attn_VAT-IN-V81-06,none,False,,0,False,NONAME-PRODUCT,product.product_uom_unit,0,30,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_2417483,0,6.16,0.05,0,,5.35,2417483,specific_product.product_storage_temperature_ambient,2018-06-19,specific_data.product_categ_ali_comp,0,0,__import__.supplier_82595,0,0,,0,product,,,l10n_be.1_attn_VAT-OUT-06-L,9.47,0,0,l10n_be.1_attn_VAT-IN-V81-06,lot,True,2417483,0,True,FORMA DROPS 15ml OROPHARMA,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",,product.product_uom_unit
__import__.product_3038213,0,16.38,0.4,0,,14.23,3038213,specific_product.product_storage_temperature_ambient,2018-06-11,specific_data.product_categ_ali_comp,0,0,__import__.supplier_82595,0,0,,0,product,,,l10n_be.1_attn_VAT-OUT-06-L,25.18,0,0,l10n_be.1_attn_VAT-IN-V81-06,lot,True,3038213,0,True,GLOBIFLY 400GR OROPHARMA,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",,product.product_uom_unit
__import__.product_1823960,0,9.51,0.1,0,,7.61,1823960,specific_product.product_storage_temperature_ambient,2018-06-13,specific_data.product_categ_divers_para,0,0,__import__.supplier_95150,0,0,,0,product,,,l10n_be.1_attn_VAT-OUT-21-L,16.69,0,0,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,SUM FRESH POUDRE 50GR,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_7595114,0,14.29,0.15,0,,10.96,7595114,specific_product.product_storage_temperature_ambient,2018-06-19,specific_data.product_categ_divers_para,0,0,__import__.supplier_95150,0,0,,0,product,,,l10n_be.1_attn_VAT-OUT-21-L,25.07,0,0,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,HORSOL 100ml,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_3718962,0,11.19,0.25,12,,8.45,3718962,specific_product.product_storage_temperature_ambient,2018-06-19,specific_data.product_categ_divers_para,12,12,__import__.supplier_66008,0,0,,6,product,,,l10n_be.1_attn_VAT-OUT-21-L,19.64,0,12,l10n_be.1_attn_VAT-IN-V81-21,lot,True,3718962,0,True,DERMAZYME SEB SHAMPOOING 200ml,product.product_uom_unit,0,0,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_3718970,0,12.26,0.25,24,,9.25,3718970,specific_product.product_storage_temperature_ambient,2018-06-19,specific_data.product_categ_divers_para,12,12,__import__.supplier_66008,0,0,,12,product,,,l10n_be.1_attn_VAT-OUT-21-L,21.51,0,12,l10n_be.1_attn_VAT-IN-V81-21,lot,True,3718970,0,True,DERMAZYME CALM SHAMPOOING 200ml,product.product_uom_unit,0,0,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_3718988,0,11.99,0.25,12,,9.05,3718988,specific_product.product_storage_temperature_ambient,2018-06-19,specific_data.product_categ_divers_para,12,12,__import__.supplier_66008,0,0,,6,product,,,l10n_be.1_attn_VAT-OUT-21-L,21.04,0,12,l10n_be.1_attn_VAT-IN-V81-21,lot,True,3718988,0,True,DERMAZYME PYO CHLORHEXIDINE SHAMPOOING,product.product_uom_unit,0,0,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_3718996,0,10.76,0.25,12,,9.35,3718996,specific_product.product_storage_temperature_ambient,2018-06-19,specific_data.product_categ_divers_para,12,12,__import__.supplier_66008,0,0,,6,product,,,l10n_be.1_attn_VAT-OUT-21-L,18.88,0,12,l10n_be.1_attn_VAT-IN-V81-21,lot,True,3718996,0,True,DERMAZYME PYO MICROSILVER SHAMPOOING,product.product_uom_unit,0,0,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_3733953,0,12.21,0.2,12,,10.61,3733953,specific_product.product_storage_temperature_ambient,2018-06-19,specific_data.product_categ_divers_para,12,12,__import__.supplier_66008,0,0,,6,product,,,l10n_be.1_attn_VAT-OUT-21-L,21.42,0,12,l10n_be.1_attn_VAT-IN-V81-21,lot,True,3733953,0,True,DERMAZYME PYO CHLORHEXIDINE 50 PADS,product.product_uom_unit,0,0,purchase.route_warehouse0_buy,,product.product_uom_unit
