id,location_id/id,product_id/id,bin_location_id/id
__import__.product_stock_bin_5270206,stock.stock_location_stock,__import__.product_5270206_product_template,__import__.location_loc_AI09B4
__import__.product_stock_bin_5499850,stock.stock_location_stock,__import__.product_5499850_product_template,__import__.location_loc_AZZ850
__import__.product_stock_bin_5791040,stock.stock_location_stock,__import__.product_5791040_product_template,__import__.location_loc_EOF207
__import__.product_stock_bin_5268505,stock.stock_location_stock,__import__.product_5268505_product_template,__import__.location_loc_EOF212
__import__.product_stock_bin_5388431,stock.stock_location_stock,__import__.product_5388431_product_template,__import__.location_loc_EOF213
__import__.product_stock_bin_8017891,stock.stock_location_stock,__import__.product_8017891_product_template,__import__.location_loc_EXC606
__import__.product_stock_bin_5000812,stock.stock_location_stock,__import__.product_5000812_product_template,__import__.location_loc_EXH600
__import__.product_stock_bin_1030400,stock.stock_location_stock,__import__.product_1030400_product_template,__import__.location_loc_EXJ100
__import__.product_stock_bin_5046543,stock.stock_location_stock,__import__.product_5046543_product_template,__import__.location_loc_EXP000
__import__.product_stock_bin_5410016,stock.stock_location_stock,__import__.product_5410016_product_template,__import__.location_loc_EZZ016
__import__.product_stock_bin_5022027,stock.stock_location_stock,__import__.product_5022027_product_template,__import__.location_loc_EZZ027
__import__.product_stock_bin_5244034,stock.stock_location_stock,__import__.product_5244034_product_template,__import__.location_loc_EZZ034
__import__.product_stock_bin_5031044,stock.stock_location_stock,__import__.product_5031044_product_template,__import__.location_loc_EZZ044
__import__.product_stock_bin_5244044,stock.stock_location_stock,__import__.product_5244044_product_template,__import__.location_loc_EZZ044
__import__.product_stock_bin_8017046,stock.stock_location_stock,__import__.product_8017046_product_template,__import__.location_loc_EZZ046
__import__.product_stock_bin_8045048,stock.stock_location_stock,__import__.product_8045048_product_template,__import__.location_loc_EZZ048
__import__.product_stock_bin_8197048,stock.stock_location_stock,__import__.product_8197048_product_template,__import__.location_loc_EZZ049
__import__.product_stock_bin_8045054,stock.stock_location_stock,__import__.product_8045054_product_template,__import__.location_loc_EZZ054
__import__.product_stock_bin_8045077,stock.stock_location_stock,__import__.product_8045077_product_template,__import__.location_loc_EZZ077
__import__.product_stock_bin_8071086,stock.stock_location_stock,__import__.product_8071086_product_template,__import__.location_loc_EZZ086
__import__.product_stock_bin_1005520,stock.stock_location_stock,__import__.product_1005520_product_template,__import__.location_loc_EZZ100
__import__.product_stock_bin_5000100,stock.stock_location_stock,__import__.product_5000100_product_template,__import__.location_loc_EZZ120
__import__.product_stock_bin_8250127,stock.stock_location_stock,__import__.product_8250127_product_template,__import__.location_loc_EZZ127
__import__.product_stock_bin_8333132,stock.stock_location_stock,__import__.product_8333132_product_template,__import__.location_loc_EZZ132
__import__.product_stock_bin_8279160,stock.stock_location_stock,__import__.product_8279160_product_template,__import__.location_loc_EZZ160
__import__.product_stock_bin_8180289,stock.stock_location_stock,__import__.product_8180289_product_template,__import__.location_loc_EZZ289
__import__.product_stock_bin_5070295,stock.stock_location_stock,__import__.product_5070295_product_template,__import__.location_loc_EZZ295
__import__.product_stock_bin_8181321,stock.stock_location_stock,__import__.product_8181321_product_template,__import__.location_loc_EZZ321
__import__.product_stock_bin_5623351,stock.stock_location_stock,__import__.product_5623351_product_template,__import__.location_loc_EZZ351
__import__.product_stock_bin_8040387,stock.stock_location_stock,__import__.product_8040387_product_template,__import__.location_loc_EZZ387
__import__.product_stock_bin_8257388,stock.stock_location_stock,__import__.product_8257388_product_template,__import__.location_loc_EZZ388
__import__.product_stock_bin_8257389,stock.stock_location_stock,__import__.product_8257389_product_template,__import__.location_loc_EZZ389
__import__.product_stock_bin_8352448,stock.stock_location_stock,__import__.product_8352448_product_template,__import__.location_loc_EZZ448
__import__.product_stock_bin_4527460,stock.stock_location_stock,__import__.product_4527460_product_template,__import__.location_loc_EZZ450
__import__.product_stock_bin_8241476,stock.stock_location_stock,__import__.product_8241476_product_template,__import__.location_loc_EZZ476
__import__.product_stock_bin_8380522,stock.stock_location_stock,__import__.product_8380522_product_template,__import__.location_loc_EZZ522
__import__.product_stock_bin_8020539,stock.stock_location_stock,__import__.product_8020539_product_template,__import__.location_loc_EZZ539
__import__.product_stock_bin_1005540,stock.stock_location_stock,__import__.product_1005540_product_template,__import__.location_loc_EZZ550
__import__.product_stock_bin_8184560,stock.stock_location_stock,__import__.product_8184560_product_template,__import__.location_loc_EZZ560
__import__.product_stock_bin_5002618,stock.stock_location_stock,__import__.product_5002618_product_template,__import__.location_loc_EZZ618
__import__.product_stock_bin_8362642,stock.stock_location_stock,__import__.product_8362642_product_template,__import__.location_loc_EZZ642
__import__.product_stock_bin_8220646,stock.stock_location_stock,__import__.product_8220646_product_template,__import__.location_loc_EZZ646
__import__.product_stock_bin_8300670,stock.stock_location_stock,__import__.product_8300670_product_template,__import__.location_loc_EZZ670
