id;type;default_code;name;categ_id;weight
test_product_1289586;product;1289586;SULFASIL CREME 50GR;Medicaments;0
test_product_4007223;product;4007223;VCN CAT NEUTERED SATIETY BALANCE 3,5KG;Aliments;3.6
test_product_8008521;product;8008521;ACIER USP2/0 EP3 23T1/2 F2709;Materiel;4
test_product_1699503;product;1699503;VOLUVEN 6% 500ML;Medicaments;0
test_product_8008314;product;8008314;AGRAFE DE MICHEL 7,5mmx100;Materiel;8
test_product_3061991;product;3061991;VOLTAREN EMULGEL FORTE 2% 100GR;Medicaments;0
test_product_8235228;product;8235228;TUNIQUE MADRID;Materiel;
test_product_2937779;product;2937779;SYNOCROM FORTE 2ML;Medicaments;0
test_product_8235234;product;8235234;TUNIQUE MADRID;Materiel;
test_product_2973279;product;2973279;TALC 5KG;Medicaments;0
test_product_2591493;product;2591493;RIOPAN 800MG 50 SACHETS;Medicaments;0
test_product_5326220;product;5326220;BLOUSE CHEROKEE 2 POCHES CHIEN/CHAT S;Materiel;0
test_product_3019239;product;3019239;SILDENAFIL EG 50MG 12CP;Medicaments;0
test_product_5326222;product;5326222;BLOUSE CHEROKEE 2 POCHES CHIEN/CHAT M;Materiel;0
test_product_2437093;product;2437093;SMOFLIPIDE 200MG/ML 250ML;Medicaments;0
test_product_5326223;product;5326223;BLOUSE CHEROKEE 2 POCHES CHIEN/CHAT L;Materiel;0
test_product_82982;product;82982;SPAGULAX M 700GR;Medicaments;0
test_product_8234832;product;8234832;TUNIQUE MADRID;Materiel;
test_product_15040;product;15040;TORENTAL 400MG 60CP;Medicaments;0
test_product_8234849;product;8234849;TUNIQUE MADRID;Materiel;
test_product_1185685;product;1185685;PNEUMO 23 SERINGUE;Medicaments;
test_product_5270214;product;5270214;TROVET NVD CHIEN 12,5KG;Aliments;12.5
test_product_6888469;product;6888469;ACADREX 60 1L;Medicaments;1.01
test_product_90936;product;90936;UROPYRINE 100MG 30CP;Medicaments;0
test_product_7415302;product;7415302;ACICLOVIR 100GR;Medicaments;0
test_product_94672;product;94672;VENTOLIN SIROP 150ML;Medicaments;0
test_product_7415304;product;7415304;ACIDE FOLIQUE 25GR;Medicaments;0
test_product_1283415;product;1283415;SEVORANE QUICKFIL 250ML (sevoflurane);Medicaments;
test_product_2098051;product;2098051;ACIDE TRICHLORACETIQUE 250gr;Medicaments;0
test_product_1446764;product;1446764;VINCRISTINE 1MG/ML 1FLACON;Medicaments;0
test_product_6730403;product;6730403;ACTILIVER I SOL INJ 100ml;Medicaments;0.21
test_product_2179497;product;2179497;URI-CRAN CONFORT 60CP 500MG;Medicaments;0
test_product_1784099;product;1784099;TRAMADOL 60x100MG;Medicaments;0
test_product_8072387;product;8072387;ADEFIX MEMO PRIMER ADHESION;Materiel;115
test_product_2214906;product;2214906;TRADONAL ODIS 30x50MG;Medicaments;0
test_product_8071287;product;8071287;AFFILOIR DIAMANT MV;Materiel;0.04
test_product_2881803;product;2881803;THIOBARBITAL BRAUN 1GR POUDRE INJ 1AMP;Medicaments;0
test_product_8051416;product;8051416;AGRAFEUSE VISISTAT LARGE 35 AGRAFES;Materiel;0.08
test_product_2918910;product;2918910;URICRAN 120CP;Medicaments;0
test_product_8430094;product;8430094;AGRAFEUSE VISISTAT STANDARD 35 AGRAFES;Materiel;0.08
test_product_1750132;product;1750132;AACIDEXAM 5MG 1ML 1AMP;Medicaments;0
test_product_8000146;product;8000146;AIGUILLE BD 22Gx1 1/4 noir (100);Materiel;0.12
test_product_5090297;product;5090297;BUPRENODALE 0,3MG/ml 10ml VET;Medicaments;0
test_product_8000123;product;8000123;AIGUILLE BD 22Gx1 noir (100);Materiel;0.11
test_product_5162633;product;5162633;ZIAPAM 5mg/ml 6amp 2ml VET;Medicaments;0.2
test_product_8000040;product;8000040;AIGUILLE BD 23Gx1 1/4 bleu (100);Materiel;0.12
test_product_459008;product;459008;ABROPERNOL 50CP HEEL;Medicaments;0
