"id","name","item_ids/applied_on","item_ids/product_id/id","item_ids/categ_id/id","item_ids/price_category_id/id","item_ids/date_start","item_ids/date_end","item_ids/product_tmpl_id/id","item_ids/percent_price","item_ids/min_quantity","item_ids/price_discount","item_ids/price_surcharge","item_ids/compute_price"
"__import__.product_pricelist_pb1","Prix Brut 1","Variante d'article","__import__.product_0949001","","","","","","0.0","1","0.0","0.0","Prix Fixe"
"","","Article","","","","","","__import__.product_3241019_product_template","0.0","1","0.0","0.0","Prix Fixe"
"","","Global","","","","","","","0.0","1","0.0","0.0","Prix Fixe"
"__import__.product_pricelist_pb2","Prix Brut 2","Variante d'article","__import__.product_0949001","","","","","","0.0","1","0.0","0.0","Prix Fixe"
"","","Article","","","","","","__import__.product_3241019_product_template","0.0","1","0.0","0.0","Prix Fixe"
"","","Global","","","","","","","0.0","1","0.0","0.0","Prix Fixe"
"__import__.product_pricelist_supplier","Promotion fournisseurs","Global","","","","2016-07-01","2016-08-31","","3.25","1","0.0","0.0","Pourcentage (remise)"
"__import__.product_pricelist_alcyon","Remises Alcyon","Price Category","","","specific_product.product_price_category_gma","","","","4.5","1","0.0","0.0","Pourcentage (remise)"
"","","Price Category","","","specific_product.product_price_category_imp","","","","2.0","1","0.0","0.0","Pourcentage (remise)"
"","","Price Category","","","specific_product.product_price_category_ali","","","","10.0","1","0.0","0.0","Pourcentage (remise)"
