id,indicated_price
__import__.product_T_7420040,0
__import__.product_0000003,0
__import__.product_0002844,0
__import__.product_0011001,0
__import__.product_0011002,0
__import__.product_0011003,0
__import__.product_0011005,0
__import__.product_0011008,0
__import__.product_0014290,0
__import__.product_0015040,0
__import__.product_0015073,0
__import__.product_0015305,0
__import__.product_0016188,0
__import__.product_0016832,0
__import__.product_0017000,0
__import__.product_0022014,0
__import__.product_0024392,0
__import__.product_0025700,0
__import__.product_0025916,0
__import__.product_0029149,0
__import__.product_0029226,0
__import__.product_0029655,0
__import__.product_0030195,0
__import__.product_0032912,0
__import__.product_0033530,0
__import__.product_0035434,0
__import__.product_0035469,0
__import__.product_0038100,0
__import__.product_0038101,0
__import__.product_0038102,0
__import__.product_0038103,0
__import__.product_0038104,0
__import__.product_0038105,0
__import__.product_0038106,0
__import__.product_0038715,0
__import__.product_0038716,0
__import__.product_0038717,0
__import__.product_0038719,0
__import__.product_0039834,0
__import__.product_0040394,0
__import__.product_0040659,0
__import__.product_0042390,0
__import__.product_0043471,0
__import__.product_0046037,0
__import__.product_0047829,0
__import__.product_0048043,0
__import__.product_0048219,0
__import__.product_0048230,0
__import__.product_0048237,0
__import__.product_0048454,0
__import__.product_0048462,0
__import__.product_0048463,0
__import__.product_0048586,0
__import__.product_0048596,0
__import__.product_0049049,0
__import__.product_0049478,0
__import__.product_0050500,0
__import__.product_0055822,0
__import__.product_0056283,0
__import__.product_0057448,0
__import__.product_0057679,0
__import__.product_0058834,0
__import__.product_0064014,0
__import__.product_0064015,0
__import__.product_0065979,0
__import__.product_0067678,0
__import__.product_0068775,0
__import__.product_0078105,0
__import__.product_0078307,0
__import__.product_0079035,0
__import__.product_0082982,0
__import__.product_0086132,0
__import__.product_0086280,0
__import__.product_0090233,0
__import__.product_0090936,0
__import__.product_0094672,0
__import__.product_0095412,0
__import__.product_0099853,0
__import__.product_0099895,0
__import__.product_0101618,0
__import__.product_0102053,0
__import__.product_0103275,0
__import__.product_0104109,0
__import__.product_0106203,0
__import__.product_0107961,0
__import__.product_0108423,0
__import__.product_0109330,0
__import__.product_0110759,0
__import__.product_0112664,0
__import__.product_0114074,0
__import__.product_0115816,0
__import__.product_0117994,0
__import__.product_0118018,0
__import__.product_0118034,0
__import__.product_0118067,0
__import__.product_0118091,0
__import__.product_0119172,0
__import__.product_0120139,0
__import__.product_0121012,0
__import__.product_0124644,0
__import__.product_0125153,0
__import__.product_0125906,0
__import__.product_0127233,0
__import__.product_0130336,0
__import__.product_0132274,0
__import__.product_0132324,0
__import__.product_0134957,0
__import__.product_0135475,0
__import__.product_0137232,0
__import__.product_0137554,0
__import__.product_0137562,0
__import__.product_0137851,0
__import__.product_0141598,0
__import__.product_0154146,0
__import__.product_0155960,0
__import__.product_0161877,0
__import__.product_0163220,0
__import__.product_0164244,0
__import__.product_0175471,0
__import__.product_0175497,0
__import__.product_0175641,0
__import__.product_0180370,0
__import__.product_0180497,0
__import__.product_0180502,0
__import__.product_0180509,0
__import__.product_0180810,0
__import__.product_0180836,0
__import__.product_0181396,0
__import__.product_0183137,0
__import__.product_0183178,0
__import__.product_0185132,0
__import__.product_0185140,0
__import__.product_0185157,0
__import__.product_0185686,0
__import__.product_0185967,0
__import__.product_0188038,0
__import__.product_0191353,0
__import__.product_0192294,0
__import__.product_0192295,0
__import__.product_0192385,0
__import__.product_0192450,0
__import__.product_0199333,0
__import__.product_0226159,0
__import__.product_0233866,0
__import__.product_0242750,0
__import__.product_0246546,0
__import__.product_0251454,0
__import__.product_0256719,0
__import__.product_0256834,0
__import__.product_0264739,0
__import__.product_0266791,0
__import__.product_0269050,0
__import__.product_0273219,0
__import__.product_0273581,0
__import__.product_0274720,0
__import__.product_0275438,0
__import__.product_0280537,0
__import__.product_0284794,0
__import__.product_0291195,0
__import__.product_0315689,0
__import__.product_0320121,0
__import__.product_0320123,0
__import__.product_0320124,0
__import__.product_0320125,0
__import__.product_0320137,0
__import__.product_0320138,0
__import__.product_0320140,0
__import__.product_0320167,0
__import__.product_0320168,0
__import__.product_0320244,0
__import__.product_0320245,0
__import__.product_0320366,0
__import__.product_0320368,0
__import__.product_0326819,0
__import__.product_0329169,0
__import__.product_0332908,0
__import__.product_0339028,0
__import__.product_0342899,0
__import__.product_0344101,0
__import__.product_0345116,0
__import__.product_0355057,0
__import__.product_0368209,0
__import__.product_0370775,0
__import__.product_0376541,0
__import__.product_0382911,0
__import__.product_0387134,0
__import__.product_0391136,0
__import__.product_0391292,0
__import__.product_0391383,0
__import__.product_0391441,0
__import__.product_0392902,0
__import__.product_0393223,0
__import__.product_0393421,0
__import__.product_0393751,0
__import__.product_0393777,0
__import__.product_0393819,0
__import__.product_0394569,0
__import__.product_0399139,0
__import__.product_0404383,0
__import__.product_0444240,0
