id,comment
__import__.customer_1743,"NE PLUS LIVRER A WAUDREZ!! NE PAS LIVRER DU 10 AU 14/09/18
Déposer colis sous l'escalier: bac mis à disposition pour y
déposer les colis. SACS DE NOURRITURE Y COMPRIS!! Sinon les
chats les déchirent!!"
__import__.customer_3382,"Si absent, livrer rue de la Chaudronnerie, 29 Houdeng-
Goegnies, 1ère rue à droite après ALDI.
NE PAS LIVRER DU 10/09 AU 21/09/2018"
__import__.customer_4622,"Pour la livraison des frigos, une glacière est mise à
disposition à l'endroit habituel de livraison."
__import__.customer_4714,"Glisser les notes d'envoi ds la boite à lettres personnelle
du docteur (boîte n°2 au nom Herbaut)
Livrer après 17h00. GSM véto: 0476/634 734"
__import__.customer_4739,"Glisser les notes d'envoi ds la boite à lettres personnelle
du docteur (boîte n°2 au nom Herbaut)
Livrer après 17h00. GSM véto: 0476/634 734"
__import__.customer_4820,"Glisser les notes d'envoi ds la boite à lettres personnelle
du docteur (boîte n°2 au nom Herbaut)
Livrer après 17h00. GSM véto: 0476/634 734"
__import__.customer_4821,"Glisser les notes d'envoi ds la boite à lettres personnelle
du docteur (boîte n°2 au nom Herbaut)
Livrer après 17h00. GSM véto: 0476/634 734"
__import__.customer_5572,"Clé de la porte d'entrée de la maison dispo. Code alarme:
pousser sur le cadenas ouvert + code: 9220. En repartant:
fermer la porte à clé MAIS PAS REMETTRE l'alarme. Colis
frigo dans frigo qui se trouve en bas de l'escalier à gauche"
__import__.customer_7170,"En cas d'absence: Sonner à l'immeuble n° 103.A la sonnette:
HERMAN."
__import__.customer_849,"Si absente, déposer au magasin articles de pêche situé dans
la même rue
NE PAS LIVRER DU 10 AU 14/09/2018 INCLUS"
