id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_stock_move_group_user,access_stock_move_group_user,stock.model_stock_move,base.group_user,1,0,0,0
access_stock_warehouse_orderpoint_group_user,access_stock_warehouse_orderpoint_group_user,stock.model_stock_warehouse_orderpoint,base.group_user,1,0,0,0
access_stock_picking_group_user,access_stock_picking_group_user,stock.model_stock_picking,base.group_user,1,0,0,0
access_mrp_product_group_user,access_mrp_product_group_user,mrp.model_mrp_production,base.group_user,1,0,0,0
access_stock_production_lot_group_user,access_stock_production_lot_group_user,stock.model_stock_production_lot,base.group_user,1,0,0,0
access_round_instance_customer_group_user,access_round_instance_customer_group_user,delivery_rounds.model_round_instance_customer,base.group_user,1,0,0,0
access_stock_move_lots_user,access_stock_move_lots_user,mrp.model_stock_move_lots,base.group_user,1,0,0,0
access_reception_pharmacy,access_reception_pharmacy,model_reception_pharmacy,base.group_user,1,0,0,0
access_reception_pharmacy_stock_user,access_reception_pharmacy_stock_user,model_reception_pharmacy,stock.group_stock_user,1,1,1,0
access_reception_pharmacy_line,access_reception_pharmacy_line,model_reception_pharmacy_line,base.group_user,1,0,0,0
access_reception_pharmacy_line_stock_user,access_reception_pharmacy_line_stock_user,model_reception_pharmacy_line,stock.group_stock_user,1,1,1,0
