id,width,depth,length,weight
__import__.product_1001210,0,0,0,0
__import__.product_1001230,0,0,0,0
__import__.product_1002980,0,0,0,0
__import__.product_1003040,0,0,0,0
__import__.product_1003050,0,0,0,0
__import__.product_1003060,0,0,0,0
__import__.product_1003180,0,0,0,0
__import__.product_1003240,0,0,0,0
__import__.product_1003960,0,0,0,0
__import__.product_1003980,0,0,0,0
__import__.product_1004010,0,0,0,0
__import__.product_1005000,0,0,0,0
__import__.product_1005010,0,0,0,0
__import__.product_1005840,0,0,0,0
__import__.product_1005980,0,0,0,0
__import__.product_1006380,0,0,0,0
__import__.product_1008810,0,0,0,0
__import__.product_1008820,0,0,0,0
__import__.product_1008850,0,0,0,0
__import__.product_1008870,0,0,0,0
__import__.product_1010720,0,0,0,0
__import__.product_1010730,0,0,0,0
__import__.product_1010780,0,0,0,0
__import__.product_1010790,0,0,0,0
__import__.product_1010810,0,0,0,0
__import__.product_1011080,0,0,0,0
__import__.product_1011110,0,0,0,0
__import__.product_1011140,0,0,0,0
__import__.product_1013960,0,0,0,0
__import__.product_1017930,0,0,0,0
__import__.product_1017940,0,0,0,0
__import__.product_1017950,0,0,0,0
__import__.product_1017960,0,0,0,0
__import__.product_1017970,0,0,0,0
__import__.product_1017980,0,0,0,0
__import__.product_1018000,0,0,0,0
__import__.product_1018010,0,0,0,0
__import__.product_1018020,0,0,0,0
__import__.product_1018030,0,0,0,0
__import__.product_1018040,0,0,0,0
__import__.product_1018050,0,0,0,0
__import__.product_1018070,0,0,0,0
__import__.product_1018080,0,0,0,0
__import__.product_1018100,0,0,0,0
__import__.product_1018280,0,0,0,0
__import__.product_1018330,0,0,0,0
__import__.product_1018340,0,0,0,0
__import__.product_1018360,0,0,0,0
__import__.product_1018370,0,0,0,0
__import__.product_1018390,0,0,0,0
__import__.product_1018400,0,0,0,0
__import__.product_1018420,0,0,0,0
__import__.product_1018430,0,0,0,0
__import__.product_1019590,0,0,0,0
__import__.product_1020100,0,0,0,0
__import__.product_1020540,0,0,0,0
__import__.product_1020700,0,0,0,0
__import__.product_1021340,0,0,0,0
__import__.product_1021580,0,0,0,0
__import__.product_1021590,0,0,0,0
__import__.product_1021730,0,0,0,2.00
__import__.product_1023130,0,0,0,0
__import__.product_1024160,0,0,0,0
__import__.product_1027760,0,0,0,0
__import__.product_1029720,0,0,0,0
__import__.product_1029730,0,0,0,0
__import__.product_1030040,0,0,0,0
__import__.product_1030360,0,0,0,0
__import__.product_1030370,0,0,0,0
__import__.product_1030490,0,0,0,0
__import__.product_1036290,0,0,0,0
__import__.product_1036300,0,0,0,0
__import__.product_1036310,0,0,0,0
__import__.product_1041000,0,0,0,0
__import__.product_1042580,0,0,0,0
__import__.product_1058010,0,0,0,0
__import__.product_1060340,0,0,0,0
__import__.product_1062320,0,0,0,0
__import__.product_1063810,0,0,0,0
__import__.product_1067792,4.70,8.80,4.70,0.12
__import__.product_1072594,17.20,11.00,22.50,1.18
__import__.product_1072750,6.30,6.10,8.90,0.10
__import__.product_1077510,4.50,3.10,19.00,0.05
__import__.product_1087949,5.20,9.90,5.20,0.18
__import__.product_1115179,7.60,5.50,10.60,0.14
__import__.product_1128958,4.30,4.80,9.90,0.09
__import__.product_1157486,11.60,4.70,12.10,0.20
__import__.product_1180053,0,0,0,3.00
