id,length,width,depth,list_price,default_code
__import__.product_0002844,0,0,0,7.00,0002844
__import__.product_0011304,9.40,6.10,5.90,22.20,0011304
__import__.product_0015305,4.90,4.40,12.50,8.50,0015305
__import__.product_0020115,17.40,16.50,15.30,28.20,0020115
__import__.product_0022014,0,0,0,188.60,0022014
__import__.product_0024920,0,0,0,6.90,0024920
__import__.product_0030195,0,0,0,75.00,0030195
__import__.product_0038100,0,0,0,33.10,0038100
__import__.product_0038101,0,0,0,28.90,0038101
__import__.product_0038102,0,0,0,24.80,0038102
__import__.product_0038103,21.60,19.90,3.50,23.60,0038103
__import__.product_0038104,21.60,20.10,3.60,24.80,0038104
__import__.product_0038105,0,0,0,26.40,0038105
__import__.product_0038106,0,0,0,28.90,0038106
__import__.product_0039719,24.00,23.00,21.20,22.50,0039719
__import__.product_0044586,0,0,0,5.40,0044586
__import__.product_0048200,0,0,0,192.00,0048200
__import__.product_0048236,0,0,0,3.10,0048236
__import__.product_0079050,0,0,0,6.10,0079050
__import__.product_0081638,10.20,10.20,12.30,42.30,0081638
__import__.product_0084541,0,0,0,24.00,0084541
__import__.product_0112945,0,0,0,3.50,0112945
__import__.product_0124297,6.60,6.60,14.00,12.20,0124297
__import__.product_0126979,0,0,0,4.00,0126979
__import__.product_0129452,0,0,0,9.30,0129452
__import__.product_0132563,0,0,0,5.70,0132563
__import__.product_0166959,0,0,0,7.90,0166959
__import__.product_0174441,0,0,0,52.20,0174441
__import__.product_0180497,0,0,0,2355.00,0180497
__import__.product_0180510,0,0,0,929.60,0180510
__import__.product_0183178,0,0,0,21.60,0183178
__import__.product_0185157,0,0,0,6.50,0185157
__import__.product_0188037,0,0,0,14.00,0188037
__import__.product_0191049,0,0,0,14.00,0191049
__import__.product_0191064,0,0,0,17.40,0191064
__import__.product_0199333,0,0,0,40.10,0199333
__import__.product_0231399,0,0,0,683.20,0231399
__import__.product_0243279,18.30,5.20,3.60,9.10,0243279
__import__.product_0254730,0,0,0,6.60,0254730
__import__.product_0277095,0,0,0,4.00,0277095
__import__.product_0281296,0,0,0,50.00,0281296
__import__.product_0287342,0,0,0,9.60,0287342
__import__.product_0290650,0,0,0,70.00,0290650
__import__.product_0311738,0,0,0,5.70,0311738
__import__.product_0311894,18.30,5.20,3.60,7.10,0311894
__import__.product_0318113,0,0,0,13.00,0318113
__import__.product_0383703,0,0,0,7.30,0383703
__import__.product_0389528,6.00,6.00,19.50,8.20,0389528
__import__.product_0392787,25.20,7.40,7.40,3.20,0392787
__import__.product_0444240,0,0,0,13.00,0444240
__import__.product_0446476,5.40,5.40,10.40,5.90,0446476
__import__.product_0463984,0,0,0,16.40,0463984
__import__.product_0498683,0,0,0,18.50,0498683
__import__.product_0605945,0,0,0,98.70,0605945
__import__.product_0608720,0,0,0,25.90,0608720
__import__.product_0608990,0,0,0,27.60,0608990
__import__.product_0609693,0,0,0,3.00,0609693
__import__.product_0641605,0,0,0,2.80,0641605
__import__.product_0664003,0,0,0,30.00,0664003
__import__.product_0682724,0,0,0,56.00,0682724
__import__.product_0706738,0,0,0,6.20,0706738
__import__.product_0720431,0,0,0,165.10,0720431
__import__.product_0724914,0,0,0,164.60,0724914
__import__.product_0807024,0,0,0,6.00,0807024
__import__.product_0815779,0,0,0,6.00,0815779
__import__.product_0829127,0,0,0,29.30,0829127
__import__.product_0841627,0,0,0,8.30,0841627
__import__.product_0846022,19.20,17.20,17.50,30.40,0846022
__import__.product_0859066,0,0,0,25.60,0859066
__import__.product_0862231,0,0,0,108.00,0862231
__import__.product_0862452,0,0,0,108.00,0862452
__import__.product_0870642,0,0,0,2.30,0870642
__import__.product_0877381,0,0,0,8.60,0877381
__import__.product_0884015,32.00,18.50,6.00,25.30,0884015
__import__.product_0895144,0,0,0,5.00,0895144
__import__.product_0897082,0,0,0,7.00,0897082
__import__.product_0933978,0,0,0,9.50,0933978
__import__.product_0935360,0,0,0,101.60,0935360
