id,width,length,depth,orderpoint_max
__import__.product_1010660,0,0,0,6
__import__.product_1160452,0,0,0,20
__import__.product_1180062,39,73,12,15
__import__.product_1239112,19,25,8.5,16
__import__.product_1239113,14,21,6,4
__import__.product_1510643,13.5,17.8,2.4,80
__import__.product_1510668,13.5,18,2.4,70
__import__.product_2287878,8.8,10.8,7.6,10
__import__.product_2289892,14.2,14.2,22.1,15
__import__.product_2583953,4,7,15,30
__import__.product_2709822,21.3,11.5,4.4,24
__import__.product_2829695,17.6,13.2,3,45
__import__.product_2853240,2.8,2.8,5.9,1000
__import__.product_3004132,0,0,0,260
__import__.product_3089075,0,0,0,50
__import__.product_3123189,0,0,0,130
__import__.product_3204906,0,0,0,72
__import__.product_3265675,0,0,0,155
__import__.product_3280906,0,0,0,40
__import__.product_3563087,0,0,0,10
__import__.product_3581923,0,0,0,60
__import__.product_4327784,24,34,27,100
__import__.product_5110200,9,16,7.5,8
__import__.product_5496103,0,0,0,12
__import__.product_5620001,13,10,2.3,270
__import__.product_8336573,13,18,2,1
__import__.product_9512036,11.2,12.1,2.5,36
