id,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_1003900,0,2.000,0,0,0,1.000
__import__.product_1003910,0,2.000,0,0,0,1.000
__import__.product_1003920,0,2.000,0,0,0,1.000
__import__.product_1003930,0,2.000,0,0,0,1.000
__import__.product_1004070,0,4.000,0,0,0,2.000
__import__.product_1004080,0,4.000,0,0,0,2.000
__import__.product_1004090,0,2.000,0,0,0,1.000
__import__.product_1004120,0,2.000,0,0,0,1.000
__import__.product_1007280,0,2.000,0,0,0,1.000
__import__.product_1007290,0,2.000,0,0,0,1.000
__import__.product_1008190,0,2.000,0,0,0,1.000
__import__.product_1008620,0,4.000,0,0,0,2.000
__import__.product_1008680,0,2.000,0,0,0,1.000
__import__.product_1008830,0,2.000,0,0,0,1.000
__import__.product_1008840,0,2.000,0,0,0,1.000
__import__.product_1009809,0.65,84.000,22.20,4.80,23.60,48.000
__import__.product_1010670,0,2.000,0,0,0,1.000
__import__.product_1013093,0.46,2320.000,6.60,6.60,14.20,1200.000
__import__.product_1013390,0.23,175.000,5.60,5.60,10.60,47.000
__import__.product_1015030,0,50.000,0,0,0,30.000
__import__.product_1015040,0,24.000,0,0,0,12.000
__import__.product_1015410,0,2.000,0,0,0,2.000
__import__.product_1015420,0,2.000,0,0,0,2.000
__import__.product_1015440,0,2.000,0,0,0,2.000
__import__.product_1015450,0,2.000,0,0,0,2.000
__import__.product_1030320,0,2.000,0,0,0,1.000
__import__.product_1030330,0,6.000,0,0,0,2.000
__import__.product_1030340,0,5.000,0,0,0,3.000
__import__.product_1030350,0,4.000,0,0,0,2.000
__import__.product_1030410,0,2.000,0,0,0,1.000
__import__.product_1032240,0,10.000,0,0,0,5.000
__import__.product_1035724,1.25,605.000,15.50,15.50,12.20,178.000
__import__.product_1040150,0,10.000,0,0,0,5.000
__import__.product_1040270,0,4.000,0,0,0,2.000
__import__.product_1055360,0,6.000,0,0,0,2.000
__import__.product_1086891,0.21,26.000,18.50,9.80,6.50,8.000
__import__.product_1088897,0.93,45.000,9.20,9.20,22.80,14.000
__import__.product_1115377,1.20,20.000,20.00,19.80,13.40,8.000
__import__.product_1118975,0.20,30.000,4.90,4.90,14.70,12.000
__import__.product_1154590,0.01,100.000,15.60,6.70,1.60,40.000
__import__.product_1155748,0.02,40.000,15.70,6.60,1.60,20.000
__import__.product_1160402,15.00,11.000,0,0,0,5.000
__import__.product_1160452,15.00,20.000,0,0,0,15.000
__import__.product_1180033,3.25,69.000,25.30,21.80,16.80,21.000
__import__.product_1180059,12.00,2.000,70.00,39.00,12.00,1.000
__import__.product_1180061,3.00,3.000,0,0,0,1.000
__import__.product_1180062,12.00,15.000,73.00,39.00,12.00,10.000
__import__.product_1180072,12.00,20.000,73.00,39.00,12.00,10.000
__import__.product_1180086,12.00,3.000,73.00,39.00,12.00,1.000
__import__.product_1183318,1.05,26.000,8.70,8.70,23.40,18.000
__import__.product_1190302,2.00,19.000,28.00,19.00,10.00,8.000
__import__.product_1190340,0.40,54.000,19.00,14.00,6.00,22.000
__import__.product_1193515,0.20,215.000,4.80,4.80,9.60,64.000
__import__.product_1200585,2.00,4.000,34.00,26.00,9.00,2.000
__import__.product_1201091,2.00,5.000,34.00,26.00,9.00,2.000
__import__.product_1202654,5.30,140.000,18.90,13.80,28.00,42.000
__import__.product_1202803,0.19,176.000,5.40,5.40,17.30,52.000
__import__.product_1202829,0.49,64.000,7.00,7.20,15.00,24.000
__import__.product_1202899,1.00,3.000,0,0,0,1.000
__import__.product_1202900,1.00,8.000,0,0,0,2.000
__import__.product_1203232,0.20,182.000,5.20,5.20,9.70,54.000
__import__.product_1203272,1.13,91.000,17.90,14.90,14.00,22.000
__import__.product_1203439,0.17,100.000,12.30,5.80,3.20,100.000
__import__.product_1205182,1.00,8.000,19.50,16.00,25.00,3.000
__import__.product_1205184,0.20,6.000,10.00,7.00,15.00,2.000
__import__.product_1206853,0.20,24.000,5.20,5.20,9.80,12.000
__import__.product_1220268,3.00,10.000,37.00,20.90,9.00,3.000
__import__.product_1220276,3.00,77.000,37.00,29.00,9.00,21.000
__import__.product_1220318,3.00,15.000,37.00,29.00,9.00,5.000
__import__.product_1230033,3.00,8.000,31.00,26.00,11.00,4.000
__import__.product_1230041,0.50,4.000,0,0,0,2.000
__import__.product_1230042,1.50,10.000,25.00,19.00,8.50,4.000
__import__.product_1230043,3.00,26.000,31.00,26.00,11.00,12.000
__import__.product_1230069,1.50,6.000,25.00,19.00,8.50,2.000
__import__.product_1231022,2.00,27.000,28.00,19.00,10.00,11.000
__import__.product_1231024,4.00,35.000,32.00,25.00,12.00,14.000
__import__.product_1231025,8.00,18.000,56.00,38.00,8.00,8.000
__import__.product_1231202,2.00,54.000,28.00,19.00,10.00,22.000
__import__.product_1231204,4.00,102.000,32.00,25.00,12.00,42.000
__import__.product_1231208,8.00,137.000,56.00,38.00,8.00,55.000
__import__.product_1231403,2.00,13.000,28.00,19.00,10.00,6.000
__import__.product_1231405,4.00,26.000,32.00,25.00,12.00,12.000
__import__.product_1231408,8.00,31.000,55.00,38.00,9.00,13.000
__import__.product_1231963,10.00,14.000,60.00,39.00,12.00,7.000
__import__.product_1232005,4.00,12.000,32.00,24.00,12.00,6.000
__import__.product_1232014,15.00,37.000,73.00,39.00,12.50,15.000
__import__.product_1232204,4.00,17.000,32.00,24.00,12.00,8.000
__import__.product_1232215,15.00,147.000,73.00,39.00,11.50,60.000
__import__.product_1232404,4.00,9.000,32.00,25.00,12.00,5.000
__import__.product_1232410,10.00,4.000,65.00,39.00,12.00,2.000
__import__.product_1232415,15.00,12.000,73.00,39.00,12.50,8.000
__import__.product_1232512,15.00,9.000,0,0,0,4.000
__import__.product_1233963,10.00,6.000,65.00,39.00,12.00,3.000
__import__.product_1234005,4.00,7.000,32.00,25.00,12.00,4.000
__import__.product_1234053,15.00,23.000,73.00,39.00,11.50,11.000
__import__.product_1234204,4.00,6.000,32.00,24.00,12.00,2.000
