id,width,depth,length
__import__.product_1000038,0,0,0
__import__.product_1000082,0,0,0
__import__.product_1000108,0,0,0
__import__.product_1000678,0,0,0
__import__.product_1000752,0,0,0
__import__.product_1000753,0,0,0
__import__.product_1000754,0,0,0
__import__.product_1001049,0,0,0
__import__.product_1001510,0,0,0
__import__.product_1001528,0,0,0
__import__.product_1001536,0,0,0
__import__.product_1002013,0,0,0
__import__.product_1002021,5.40,4.70,9.90
__import__.product_1002039,0,0,0
__import__.product_1003326,0,0,0
__import__.product_1003607,0,0,0
__import__.product_1003640,0,0,0
__import__.product_1003660,0,0,0
__import__.product_1005500,0,0,0
__import__.product_1005520,0,0,0
__import__.product_1005540,0,0,0
__import__.product_1006240,0,0,0
__import__.product_1008077,0,0,0
__import__.product_1009810,0,0,0
__import__.product_1010636,0,0,0
__import__.product_1010750,0,0,0
__import__.product_1010760,0,0,0
__import__.product_1010770,0,0,0
__import__.product_1012855,0,0,0
__import__.product_1012863,0,0,0
__import__.product_1012905,0,0,0
__import__.product_1012913,0,0,0
__import__.product_1012939,0,0,0
__import__.product_1012947,0,0,0
__import__.product_1012954,0,0,0
__import__.product_1012962,0,0,0
__import__.product_1013010,0,0,0
__import__.product_1013069,0,0,0
__import__.product_1013119,6.70,14.30,6.70
__import__.product_1013135,18.30,9.30,22.80
__import__.product_1013242,0,0,0
__import__.product_1013382,0,0,0
__import__.product_1013440,0,0,0
__import__.product_1013457,5.40,9.70,10.40
__import__.product_1013499,4.70,8.70,4.70
__import__.product_1014414,0,0,0
__import__.product_1015148,0,0,0
__import__.product_1015149,0,0,0
__import__.product_1015612,0,0,0
__import__.product_1015615,0,0,0
__import__.product_1016700,0,0,0
__import__.product_1019140,0,0,0
__import__.product_1019546,0,0,0
__import__.product_1019710,0,0,0
__import__.product_1020830,0,0,0
__import__.product_1021570,0,0,0
__import__.product_1021898,3.90,6.80,3.90
__import__.product_1022799,0,0,0
__import__.product_1023118,0,0,0
__import__.product_1024116,0,0,0
__import__.product_1025940,0,0,0
__import__.product_1026070,0,0,0
__import__.product_1026090,0,0,0
__import__.product_1027036,0,0,0
__import__.product_1027416,0,0,0
__import__.product_1027572,0,0,0
__import__.product_1027697,0,0,0
__import__.product_1027940,0,0,0
__import__.product_1028588,0,0,0
__import__.product_1029470,0,0,0
__import__.product_1029480,0,0,0
__import__.product_1029500,0,0,0
__import__.product_1029602,0,0,0
__import__.product_1029719,0,0,0
__import__.product_1030400,0,0,0
__import__.product_1031038,0,0,0
__import__.product_1032564,0,0,0
__import__.product_1033190,0,0,0
__import__.product_1035330,0,0,0
__import__.product_1035625,0,0,0
__import__.product_1035773,0,0,0
__import__.product_1035807,3.70,14.30,3.70
__import__.product_1035815,0,0,0
__import__.product_1036466,0,0,0
__import__.product_1036730,5.70,13.30,5.70
__import__.product_1036748,0,0,0
__import__.product_1036789,0,0,0
__import__.product_1037258,0,0,0
__import__.product_1038132,0,0,0
__import__.product_1038208,0,0,0
__import__.product_1040990,0,0,0
__import__.product_1045350,0,0,0
__import__.product_1045360,0,0,0
__import__.product_1047331,0,0,0
__import__.product_1048013,0,0,0
__import__.product_1048235,0,0,0
__import__.product_1048237,0,0,0
__import__.product_1048248,0,0,0
__import__.product_1048249,0,0,0
__import__.product_1048297,0,0,0
__import__.product_1048420,0,0,0
__import__.product_1050052,0,0,0
__import__.product_1050601,0,0,0
__import__.product_1050603,0,0,0
__import__.product_1051280,0,0,0
__import__.product_1053200,0,0,0
__import__.product_1053670,0,0,0
__import__.product_1055700,0,0,0
__import__.product_1057942,0,0,0
__import__.product_1057959,0,0,0
__import__.product_1064245,0,0,0
__import__.product_1064328,0,0,0
__import__.product_1064435,0,0,0
__import__.product_1064443,0,0,0
__import__.product_1065010,0,0,0
__import__.product_1065143,0,0,0
__import__.product_1065200,0,0,0
__import__.product_1065606,0,0,0
__import__.product_1065630,0,0,0
__import__.product_1066400,0,0,0
__import__.product_1066612,0,0,0
__import__.product_1067444,9.80,18.00,10.40
__import__.product_1067628,0,0,0
__import__.product_1069467,0,0,0
__import__.product_1069889,0,0,0
__import__.product_1070366,0,0,0
__import__.product_1070390,0,0,0
__import__.product_1070408,0,0,0
__import__.product_1070556,0,0,0
__import__.product_1071190,0,0,0
__import__.product_1072001,0,0,0
__import__.product_1072131,0,0,0
__import__.product_1072677,0,0,0
__import__.product_1072743,0,0,0
__import__.product_1072768,0,0,0
__import__.product_1074087,0,0,0
__import__.product_1074301,0,0,0
__import__.product_1075027,0,0,0
__import__.product_1075035,0,0,0
__import__.product_1075043,0,0,0
__import__.product_1075290,5.40,4.70,9.90
__import__.product_1075316,0,0,0
__import__.product_1075407,0,0,0
__import__.product_1075415,0,0,0
__import__.product_1075423,0,0,0
__import__.product_1075712,0,0,0
__import__.product_1077585,5.40,4.70,9.90
__import__.product_1077635,0,0,0
__import__.product_1077643,0,0,0
__import__.product_1080241,0,0,0
__import__.product_1081470,12.70,11.80,13.60
__import__.product_1082049,0,0,0
__import__.product_1082122,0,0,0
__import__.product_1082684,0,0,0
__import__.product_1082783,0,0,0
__import__.product_1082940,0,0,0
__import__.product_1083500,0,0,0
