id,width,depth,length,indicated_price,weight
__import__.product_1001910,0,0,0,228.71,10.00
__import__.product_1026170,0,0,0,14.90,0
__import__.product_1026180,0,0,0,14.90,0
__import__.product_1037500,43.80,13.80,77.70,68.50,15.00
__import__.product_1047500,43.80,13.80,77.70,68.50,15.00
__import__.product_1180091,0,0,0,68.00,14.00
__import__.product_1190103,0,0,0,15.50,2.00
__import__.product_1190110,0,0,0,48.90,10.00
__import__.product_1190400,0,0,0,60.00,3.00
__import__.product_1190401,0,0,0,60.00,3.00
__import__.product_1230061,0,0,0,6.90,0.50
__import__.product_1230068,0,0,0,6.90,0.50
__import__.product_1231001,0,0,0,9.90,1.00
__import__.product_1231003,0,0,0,22.50,3.00
__import__.product_1231009,0,0,0,46.90,8.50
__import__.product_1231331,0,0,0,8.20,0.80
__import__.product_1232207,0,0,0,34.50,7.50
__import__.product_1232408,0,0,0,37.90,8.00
__import__.product_1234203,0,0,0,6.20,1.00
__import__.product_1234208,0,0,0,35.50,8.00
__import__.product_1234408,0,0,0,37.90,8.00
__import__.product_1235004,0,0,0,25.50,4.00
__import__.product_1235009,0,0,0,50.50,9.50
__import__.product_1235010,0,0,0,69.90,15.00
__import__.product_1237004,0,0,0,25.50,4.00
__import__.product_1237015,0,0,0,69.90,15.00
__import__.product_1238102,0,0,0,7.20,0.50
__import__.product_1239051,0,0,0,7.20,0.50
__import__.product_1239059,0,0,0,7.20,0.50
__import__.product_1239063,37.00,10.00,52.00,39.90,6.00
__import__.product_1239104,0,0,0,7.20,0.50
__import__.product_1239304,0,0,0,7.20,0.50
__import__.product_1239321,0,0,0,7.20,0.50
__import__.product_1239345,26.00,11.00,31.00,65.90,13.00
__import__.product_1239411,0,0,0,7.20,0.50
__import__.product_1239421,0,0,0,7.20,0.50
__import__.product_1239452,24.00,12.00,32.00,31.50,4.00
__import__.product_1239461,0,0,0,9.20,1.00
__import__.product_1239462,0,0,0,28.90,4.00
__import__.product_1239465,39.00,12.00,65.00,59.00,10.00
__import__.product_1239481,17.50,6.70,26.00,8.90,1.00
__import__.product_1240031,42.00,13.50,79.00,90.60,17.00
__import__.product_1240032,39.30,10.10,69.60,49.50,10.00
__import__.product_1250801,14.00,6.00,19.00,8.20,0.40
__import__.product_1250815,0,0,0,8.20,0.40
__import__.product_1250831,0,0,0,8.20,0.40
__import__.product_1250861,0,0,0,8.20,0.40
__import__.product_1250881,14.00,6.00,19.00,8.20,0.40
__import__.product_1250921,0,0,0,8.20,0.40
__import__.product_1250930,0,0,0,8.20,0.40
__import__.product_1250936,0,0,0,8.20,0.40
__import__.product_1290022,27.50,24.80,37.00,69.30,2.70
__import__.product_1346100,36.30,9.80,57.00,40.10,7.50
__import__.product_1445931,0,0,0,12.50,0.80
__import__.product_1445956,0,0,0,39.40,10.00
__import__.product_1487305,6.60,14.20,6.60,24.30,0.47
__import__.product_1545367,9.80,18.50,3.80,8.90,0.10
__import__.product_1741644,0,0,0,14.50,0.50
__import__.product_2196901,16.80,12.30,26.50,82.90,1.40
__import__.product_2262129,5.10,10.60,5.10,54.00,0.10
__import__.product_2288868,9.00,6.10,10.80,17.50,0.10
__import__.product_2357697,12.50,12.00,39.00,27.00,2.70
__import__.product_2386092,7.90,1.10,22.50,22.10,0.03
__import__.product_2474609,0,0,0,43.20,0.30
__import__.product_2488658,0,0,0,9.70,0.70
__import__.product_2519452,11.10,20.20,11.10,228.30,1.60
__import__.product_2548915,0,0,0,112.60,0.05
__import__.product_2552248,0,0,0,12.10,0.50
__import__.product_2556926,11.70,10.40,5.60,49.60,0.30
__import__.product_2627172,4.00,27.00,17.00,12.20,1.00
__import__.product_2648830,0,0,0,59.90,0.20
__import__.product_2687911,41.00,12.00,64.00,73.00,13.00
__import__.product_2739720,29.00,10.00,56.00,51.50,4.00
__import__.product_2739787,39.00,10.00,60.00,82.00,8.00
__import__.product_2747606,29.00,9.00,37.00,19.50,3.00
__import__.product_2769400,29.00,9.00,37.00,19.50,3.00
__import__.product_2790780,0,0,0,108.20,1.00
__import__.product_2854834,5.10,23.30,5.10,31.30,0.33
__import__.product_2877801,0,0,0,27.00,2.70
__import__.product_2877959,0,0,0,31.00,2.40
__import__.product_2877991,0,0,0,76.70,7.50
__import__.product_2878031,0,0,0,89.50,7.50
__import__.product_2923746,17.00,7.00,20.00,15.50,1.00
__import__.product_2924199,0,0,0,141.50,1.00
__import__.product_2975779,0,0,0,8.40,0.50
__import__.product_2975829,0,0,0,23.50,2.40
__import__.product_2977148,0,0,0,6.00,0.50
__import__.product_3213576,0,0,0,387.70,0.50
__import__.product_3274487,0,0,0,41.40,0.10
__import__.product_3410164,0,0,0,141.50,0.20
__import__.product_3528239,18.00,40.00,30.00,252.30,15.00
__import__.product_3611300,20.00,9.00,24.00,32.30,3.00
__import__.product_4000509,41.00,8.50,58.30,66.50,9.50
