id,list_price,orderpoint_max,depth,width,length,orderpoint_min
__import__.product_1000751,6.80,265.000,3.80,4.00,15.70,71.000
__import__.product_1002190,4.00,6.000,0,0,0,1.000
__import__.product_1004430,22.00,8.000,0,0,0,3.000
__import__.product_1013481,58.50,54.000,6.60,3.70,3.70,16.000
__import__.product_1023027,8.10,3.000,16.20,5.80,5.80,1.000
__import__.product_1023170,31.70,2.000,0,0,0,1.000
__import__.product_1032030,20.00,2.000,0,0,0,1.000
__import__.product_1059170,248.30,2.000,0,0,0,1.000
__import__.product_1113372,17.30,9.000,2.50,9.00,9.50,3.000
__import__.product_1136498,6.10,26.000,16.50,5.60,5.60,9.000
__import__.product_1148394,8.80,464.000,4.80,5.00,6.90,125.000
__import__.product_1151519,27.20,8.000,6.00,6.60,13.90,4.000
__import__.product_1182534,101.20,44.000,15.00,16.30,34.00,13.000
__import__.product_1201088,6.60,7.000,0,0,0,2.000
__import__.product_1201093,6.40,6.000,27.00,16.00,29.00,2.000
__import__.product_1201095,1.40,5.000,0,0,0,4.000
__import__.product_1202407,8.50,3.000,27.00,16.00,29.00,2.000
__import__.product_1202409,8.50,2.000,0,0,0,1.000
__import__.product_1211366,123.00,136.000,10.90,5.80,5.80,33.000
__import__.product_1211374,24.60,60.000,7.00,3.70,3.70,30.000
__import__.product_1211382,123.00,25.000,10.90,5.80,5.80,15.000
__import__.product_1220466,31.50,94.000,3.50,7.40,7.40,36.000
__import__.product_1302231,15.30,33.000,19.20,6.70,6.70,14.000
__import__.product_1329622,64.50,37.000,4.20,7.20,8.70,12.000
__import__.product_1331222,31.00,53.000,15.20,5.20,6.20,16.000
__import__.product_1356229,343.60,4.000,19.70,6.50,7.70,2.000
__import__.product_1357235,15.90,904.000,2.60,10.80,16.80,400.000
__import__.product_1384023,42.50,80.000,13.20,15.20,17.20,60.000
__import__.product_1388966,7.40,38.000,21.70,5.00,5.00,18.000
__import__.product_1397223,16.00,40.000,1.80,11.40,14.90,20.000
__import__.product_1397231,20.20,60.000,1.80,11.50,14.90,40.000
__import__.product_1447416,53.80,60.000,10.40,5.40,5.40,36.000
__import__.product_1448091,9.40,4.000,16.30,5.80,5.80,2.000
__import__.product_1451350,2.30,340.000,11.90,13.30,19.00,200.000
__import__.product_1510635,16.00,496.000,2.30,13.50,17.80,180.000
__import__.product_1515253,68.40,14.000,19.50,22.60,22.80,4.000
__import__.product_1633171,39.10,4.000,23.20,8.40,8.40,2.000
__import__.product_1662865,15.30,50.000,1.50,14.00,17.80,25.000
__import__.product_1688803,58.60,34.000,16.00,19.90,19.90,12.000
__import__.product_1730928,106.50,30.000,9.00,4.40,4.40,20.000
