id,width,length,depth,list_price,indicated_price
__import__.product_1152891,13.3,18.8,28.7,114.34,175.74
__import__.product_1446152,0,0,0,15.07,26.44
__import__.product_4789711,4.6,3.7,8.8,7.4,12.98
__import__.product_5512024,0,0,0,11,16.91
__import__.product_6707858,3.5,3.5,7.8,11.32,17.39
__import__.product_6708935,0,0,0,5.95,9.15
__import__.product_6730082,4.7,8.9,3.3,11.63,17.87
__import__.product_6731118,2.5,2.5,5.7,23.1,35.51
__import__.product_6731986,0,0,0,14.06,21.61
__import__.product_6742300,7,7,13.9,4.77,7.34
__import__.product_6764974,0,0,0,7.13,10.96
__import__.product_6765548,5.3,2.5,5.7,12.04,18.51
__import__.product_6795408,0,0,0,18.28,28.1
__import__.product_6812928,0,0,0,134.14,206.17
__import__.product_6823501,3.1,3.1,9.3,6.27,9.64
__import__.product_6824736,0,0,0,8.3,12.76
__import__.product_6840758,4.1,4.1,14.4,9.08,13.96
__import__.product_6857859,5.6,11.7,1.9,7.68,11.81
__import__.product_6861163,0,0,0,14.23,21.87
__import__.product_6867786,0,0,0,13.89,21.35
__import__.product_6876638,0,0,0,23.32,35.84
__import__.product_6931805,5.8,5.7,10.4,9.64,14.82
__import__.product_6943576,8.2,11.3,1.5,7.72,11.86
__import__.product_6943725,5.9,11.1,1.6,6.12,9.4
__import__.product_6943731,5.6,11,1.6,5.14,7.9
__import__.product_6971667,5.5,22.5,3.3,12.49,19.2
__import__.product_6994065,7,7,14,18.12,27.85
__import__.product_7260218,4.6,3.7,8.8,7.63,13.38
__import__.product_7416666,29.6,43,10,28.63,49.5
__import__.product_8094874,0,0,0,6.58,11.54
__import__.product_9512010,9.2,10.6,2.2,15.43,23.71
