id,state_id/id,width,length,depth
__import__.product_1065440,specific_purchase.product_state_h,0,0,0
__import__.product_1077486,specific_purchase.product_state_h,8.4,8.4,23
__import__.product_1400903,,10.2,10.2,17.7
__import__.product_1411375,,7.5,7.5,11.5
__import__.product_1413020,,10.5,10.5,11
__import__.product_1413082,,7.5,7.5,11.5
__import__.product_2049153,,4.6,4.6,8.7
__import__.product_2251866,,8.5,9.9,4.7
__import__.product_2251874,,8.4,9.9,4.7
__import__.product_2680551,,9,12.5,17.5
__import__.product_2710507,,8.9,8.8,16.5
__import__.product_2710796,specific_purchase.product_state_h,14.5,4.9,10.4
__import__.product_2717445,specific_purchase.product_state_h,2,6.6,9.5
__import__.product_2917029,,9.6,3.6,13.7
__import__.product_2932747,specific_purchase.product_state_h,4.9,4.9,13.9
__import__.product_3004447,specific_purchase.product_state_h,0,0,0
__import__.product_3004488,specific_purchase.product_state_h,0,0,0
__import__.product_3085859,,0,0,0
__import__.product_3116837,,0,0,0
__import__.product_3220449,,0,0,0
__import__.product_3247970,,0,0,0
__import__.product_3247988,,0,0,0
__import__.product_3289469,specific_purchase.product_state_h,0,0,0
__import__.product_3289485,specific_purchase.product_state_h,0,0,0
__import__.product_3344363,specific_purchase.product_state_h,0,0,0
__import__.product_3585825,specific_purchase.product_state_h,0,0,0
__import__.product_4005921,specific_purchase.product_state_h,14,19,6
__import__.product_4007024,,25,33,0
__import__.product_4007225,,0,0,0
__import__.product_4008021,,19,25,8.5
__import__.product_4008025,specific_purchase.product_state_h,39,65,12
__import__.product_4008034,specific_purchase.product_state_h,25,33,12
__import__.product_4008036,specific_purchase.product_state_h,39,60,12
__import__.product_4009014,specific_purchase.product_state_h,25,33,12
__import__.product_4009034,specific_purchase.product_state_h,25,33,12
__import__.product_4009094,specific_purchase.product_state_h,25,33,12
__import__.product_4160103,specific_purchase.product_state_h,19,25,8.5
__import__.product_4160121,specific_purchase.product_state_h,14,19,6
__import__.product_4180302,specific_purchase.product_state_h,25,33,12
__import__.product_4210132,specific_purchase.product_state_h,19,25,8.5
__import__.product_4217004,specific_purchase.product_state_h,36,57,9
__import__.product_4270114,specific_purchase.product_state_h,38,70,12
__import__.product_4500425,specific_purchase.product_state_h,39,60,12
__import__.product_4527916,specific_purchase.product_state_h,4.5,4.5,7.4
__import__.product_5082202,specific_purchase.product_state_a,0,0,0
__import__.product_5090321,specific_purchase.product_state_h,0,0,0
__import__.product_5090354,,0,0,0
__import__.product_5190401,specific_purchase.product_state_h,16,25.5,24
__import__.product_5603571,,0,0,0
__import__.product_5810179,specific_purchase.product_state_h,0,0,0
__import__.product_5823231,specific_purchase.product_state_h,0,0,0
__import__.product_5823402,specific_purchase.product_state_h,0,0,0
__import__.product_5828692,,19,29,6
__import__.product_5920467,specific_purchase.product_state_a,0,0,0
__import__.product_5962645,,0,0,0
__import__.product_6710725,specific_purchase.product_state_h,0,0,0
__import__.product_6719643,specific_purchase.product_state_h,6.9,7,14.4
__import__.product_6771431,specific_purchase.product_state_h,4.9,11.8,3.9
__import__.product_6825341,,38,60.2,10
__import__.product_6828886,specific_purchase.product_state_h,20.6,29,9
__import__.product_6828887,,29,37,9
__import__.product_6829323,specific_purchase.product_state_h,23,31,10.4
__import__.product_6911978,specific_purchase.product_state_h,4.7,4.7,8.4
__import__.product_6940230,specific_purchase.product_state_h,7.1,7.1,18.3
__import__.product_6969707,,0,0,0
__import__.product_7369004,specific_purchase.product_state_h,4.3,4.3,15.1
__import__.product_8091479,specific_purchase.product_state_h,16,10.5,23
__import__.product_8471064,specific_purchase.product_state_h,0,0,0
