id,width,length,depth,name
__import__.product_1230032,19,25,8.5,"SHN DOG XSMALL PUPPY 1,5KG"
__import__.product_1234014,39,73,12.5,SHN DOG MAXI PUPPY
__import__.product_1801190,0,0,0,ZENIFEL DIFFUSEUR (prise+recharge 48ml)
__import__.product_2357952,17,29,6,"SPECIFIC FSD STRUVITE 1,5KG/"
__import__.product_3138120,0,0,0,LEVAMISOLE KELA 100MG/ML 250ML/
__import__.product_5140541,0,0,0,TREILLI POLYPROPYLENE LIGHT MECH 15x15cm
__import__.product_5140542,0,0,0,TREILLI POLYPROPYLENE LIGHT MESH 30x30cm
__import__.product_5140543,0,0,0,TREILLI POLYPROPYLENE LIGHT MECH  6x11cm
__import__.product_5152600,0,0,0,AIG SUT 3/8 COUP  17mm x10
__import__.product_5152601,0,0,0,AIG SUT 3/8 COUP  21mm x10
__import__.product_5244042,0,0,0,TABLE CK MST2200 BASIC ELEC 150x60cm
__import__.product_5320001,0,0,0,EUKANUBA DOG HEALTHY BISCUITS PUPPY 200/
__import__.product_5344012,0,0,0,TETE DE COUPE MOSER MAX45 1245 1/10mm
__import__.product_5600500,0,0,0,COUTEAU POUR INSPECTION ARRONDI
__import__.product_5603561,15,28,21,IDEAL BALANCE FELINE KITTEN 6X300GPOULET
__import__.product_5607607,0,0,0,COUVERTURE DE SURVIE (ARGENTE/DOR
__import__.product_5617232,0,0,0,PLAFONNIER NL 654 1260x614x54mm 6
__import__.product_5724000,8,8.5,16,COMPRESSE NISSAN 70%VIS/30%POL./CA
__import__.product_5802099,0,0,0,METABOLIC CANIN 12KG PROMOTION/
__import__.product_5806139,13,40,60,JD CANIN REDUCED CALORIE 12KG PROMO/
__import__.product_5823122,0,0,0,IDEAL BALANCE CANINE ADULT NO GRAIN 2KG/
__import__.product_5823128,0,0,0,IDEAL BALANCE CANINE MATURE ADULT 2KG/
__import__.product_5823130,0,0,0,IDEAL BALANCE CANINE PUPPY 2KG/
__import__.product_5869001,0,0,0,MICROSCOPE NOVEX:OBJECTIF 100X IMMERSION
__import__.product_5904149,0,0,0,BOTTE PUROFORT BLANCHE 49/50
__import__.product_5933500,0,0,0,MELAG SAV 23EN RESISTANCE CHAUFFANTE
__import__.product_5935496,0,0,0,MELAG SAV 29VS SONDE DE TEMPERATURE
__import__.product_6390012,0,0,0,DERMALON USP2/0 EP3 26C3/8 1744-51 BLEU
__import__.product_7144507,0,0,0,"MERSUTURE USP3 EP6 LIGAPAK 2,5M F4507"
__import__.product_8014935,16,29,2.7,TROUSSE PERFUSEUR GRANDS ANIMAUX 225cm
__import__.product_8017855,0,0,0,SONDE ENDOTRACH TRANSP A BALLON 5
__import__.product_8053639,16,28,2.2,TROUSSE PERFUSEUR EN Y GROS DEBIT 230cm
__import__.product_8244871,0,0,0,VANOS TTA CAGE RESORB INOX 6/22mm
__import__.product_8244888,0,0,0,VANOS TTA CAGE RESORB INOX 9/25mm
__import__.product_8244894,0,0,0,VANOS TTA CAGE RESORB INOX 12/28mm
__import__.product_8244902,0,0,0,VANOS TTA CAGE RESORB TITANE 6/22
__import__.product_8244919,0,0,0,VANOS TTA CAGE RESORB TITANE 9/25
__import__.product_8244925,0,0,0,VANOS TTA CAGE RESORB TITANE 12/2
__import__.product_8296460,2.7,13.5,18.5,ANTICOAGULANT ACD 250ml
__import__.product_8338682,0,0,0,SACHET NON ADHE AUTOC. 150x300mm
