id,width,depth,list_price,length
__import__.product_1003119,0,0,260.00,0
__import__.product_1004032,0,0,35.20,0
__import__.product_1004180,0,0,20.00,0
__import__.product_1004280,0,0,16.00,0
__import__.product_1004290,0,0,16.00,0
__import__.product_1004340,0,0,21.00,0
__import__.product_1004420,0,0,18.00,0
__import__.product_1005050,0,0,8.30,0
__import__.product_1005110,0,0,8.30,0
__import__.product_1005820,0,0,1881.50,0
__import__.product_1006190,0,0,495.00,0
__import__.product_1007120,0,0,76.00,0
__import__.product_1008160,0,0,22.00,0
__import__.product_1008900,0,0,1500.00,0
__import__.product_1009280,0,0,3.60,0
__import__.product_1009506,0,0,142.50,0
__import__.product_1009570,0,0,142.50,0
__import__.product_1009580,0,0,142.50,0
__import__.product_1009780,0,0,202.50,0
__import__.product_1009800,0,0,115.20,0
__import__.product_1012003,0,0,40.00,0
__import__.product_1012996,0,0,458.00,0
__import__.product_1013028,0,0,150.00,0
__import__.product_1013101,0,0,11.10,0
__import__.product_1013473,0,0,26.70,0
__import__.product_1023360,0,0,25.00,0
__import__.product_1023370,0,0,1156.80,0
__import__.product_1025920,0,0,490.00,0
__import__.product_1026440,0,0,12.40,0
__import__.product_1027077,3.90,3.80,7.10,16.40
__import__.product_1030105,0,0,6500.00,0
__import__.product_1030740,0,0,120.90,0
__import__.product_1030750,0,0,120.90,0
__import__.product_1031012,5.40,10.30,6.90,5.40
__import__.product_1031039,0,0,72.00,0
__import__.product_1031049,0,0,105.00,0
__import__.product_1033610,0,0,6.40,0
__import__.product_1035030,0,0,305.50,0
__import__.product_1037720,0,0,110.40,0
__import__.product_1038000,0,0,5500.00,0
__import__.product_1050602,0,0,22.00,0
__import__.product_1053610,0,0,3200.00,0
__import__.product_1064740,0,0,6.40,0
__import__.product_1066530,0,0,38.00,0
__import__.product_1071364,0,0,3.10,0
__import__.product_1077502,0,0,3.00,0
__import__.product_1085224,3.80,9.40,8.60,3.80
__import__.product_1085232,3.90,9.30,8.60,3.90
__import__.product_1085240,3.80,9.40,8.60,3.80
__import__.product_1087873,7.70,3.30,36.40,10.30
__import__.product_1100250,0,0,24.50,0
__import__.product_1101724,7.20,14.70,53.70,7.20
__import__.product_1103367,0,0,10.30,0
__import__.product_1107440,0,0,2.70,0
__import__.product_1115534,11.40,2.10,18.30,14.80
__import__.product_1116614,0,0,1254.00,0
__import__.product_1118942,13.20,28.80,62.60,18.80
__import__.product_1118967,23.50,13.80,72.00,30.40
__import__.product_1119007,0,0,18.50,0
__import__.product_1126358,0,0,3.60,0
__import__.product_1141894,0,0,45.40,0
__import__.product_1148238,0,0,13.70,0
__import__.product_1148311,0,0,53.30,0
__import__.product_1151703,0,0,22.50,0
__import__.product_1151729,5.00,4.70,72.00,12.10
__import__.product_1151943,0,0,183.00,0
__import__.product_1157494,5.60,4.70,95.60,11.70
__import__.product_1162874,0,0,8.40,0
__import__.product_1163856,11.10,24.30,69.20,17.80
__import__.product_1177553,0,0,30.00,0
__import__.product_1178706,0,0,7.80,0
__import__.product_1180058,5.70,23.90,22.00,5.70
__import__.product_1183177,0,0,11.40,0
__import__.product_1188259,0,0,19.90,0
__import__.product_1193374,0,0,24.00,0
__import__.product_1196385,0,0,8.50,0
__import__.product_1196393,0,0,6.20,0
__import__.product_1200310,9.00,5.60,30.10,9.00
__import__.product_1200700,0,0,8.00,0
__import__.product_1200971,0,0,119.50,0
__import__.product_1201090,16.50,27.00,6.60,28.50
__import__.product_1201561,0,0,90.00,0
__import__.product_1202020,0,0,1.50,0
__import__.product_1202258,0,0,53.00,0
__import__.product_1202472,4.60,8.20,30.70,4.60
__import__.product_1202506,4.60,8.30,28.40,4.60
__import__.product_1202670,0,0,14.80,0
__import__.product_1202904,8.30,21.00,8.90,8.30
__import__.product_1202928,0,0,11.70,0
__import__.product_1203058,5.40,4.70,33.10,9.90
__import__.product_1203108,8.10,14.00,5.10,8.10
__import__.product_1203249,0,0,5.50,0
__import__.product_1220194,0,0,76.80,0
__import__.product_1246305,0,0,5.50,0
__import__.product_1246701,0,0,6.70,0
__import__.product_1246735,0,0,1.50,0
__import__.product_1257096,0,0,1.90,0
__import__.product_1257120,5.60,1.60,8.50,13.50
__import__.product_1257138,5.60,1.60,4.70,13.50
__import__.product_1257161,5.70,1.50,20.80,13.50
__import__.product_1257179,5.60,2.10,34.00,13.50
__import__.product_1257310,0,0,100.40,0
__import__.product_1261361,0,0,23.20,0
__import__.product_1261593,4.00,2.90,9.10,18.00
__import__.product_1265933,8.30,7.70,54.90,17.20
__import__.product_1270826,0,0,2.90,0
__import__.product_1270834,0,0,3.10,0
__import__.product_1271071,4.80,1.60,8.10,11.30
__import__.product_1274901,0,0,6.00,0
__import__.product_1275429,0,0,6.20,0
__import__.product_1277128,5.40,10.40,15.00,5.40
__import__.product_1279322,0,0,5.60,0
__import__.product_1279330,0,0,6.00,0
__import__.product_1300243,0,0,109.90,0
__import__.product_1300292,0,0,17.00,0
__import__.product_1300442,0,0,80.40,0
__import__.product_1302303,0,0,1400.00,0
__import__.product_1304001,0,0,1335.00,0
__import__.product_1308469,1.90,18.50,26.00,16.70
__import__.product_1334184,0,0,7.00,0
__import__.product_1336379,0,0,26.70,0
__import__.product_1336411,14.60,9.30,38.60,17.70
__import__.product_1337906,0,0,17.40,0
__import__.product_1350049,10.80,6.00,12.20,16.50
__import__.product_1350341,0,0,38.30,0
__import__.product_1351691,0,0,9.00,0
__import__.product_1351717,0,0,3.20,0
__import__.product_1351774,0,0,5.50,0
__import__.product_1351808,8.40,24.30,13.50,8.40
__import__.product_1351873,0,0,34.90,0
__import__.product_1354679,0,0,14.40,0
__import__.product_1354935,0,0,6.10,0
__import__.product_1357870,12.70,11.80,109.60,12.80
__import__.product_1370691,14.80,7.70,203.40,15.70
__import__.product_1385178,0,0,40.70,0
__import__.product_1385426,0,0,6.50,0
__import__.product_1388719,6.30,14.30,30.10,6.30
__import__.product_1389340,9.50,5.60,175.20,13.40
__import__.product_1389774,6.40,5.50,37.10,13.50
__import__.product_1394139,0,0,4.20,0
__import__.product_1400070,0,0,2317.00,0
__import__.product_1400100,0,0,892.00,0
__import__.product_1400333,0,0,694.10,0
__import__.product_1400412,0,0,364.80,0
__import__.product_1400500,0,0,24.70,0
__import__.product_1400508,0,0,11.70,0
__import__.product_1401397,4.30,4.80,24.60,9.90
__import__.product_1401562,0,0,14.60,0
__import__.product_1401971,0,0,2470.00,0
__import__.product_1402031,0,0,50.00,0
__import__.product_1402468,0,0,450.00,0
__import__.product_1402800,0,0,161.10,0
__import__.product_1404321,0,0,1040.90,0
__import__.product_1405022,0,0,40.00,0
__import__.product_1405075,0,0,0.50,0
__import__.product_1405077,0,0,115.00,0
__import__.product_1405407,0,0,69.00,0
__import__.product_1406503,9.70,21.40,25.30,9.70
__import__.product_1410123,0,0,114.90,0
__import__.product_1411370,26.00,26.40,115.00,29.00
__import__.product_1411800,0,0,6.30,0
__import__.product_1416438,36.00,25.30,301.50,46.70
__import__.product_1425149,0,0,8.80,0
__import__.product_1430784,0,0,5.00,0
__import__.product_1460116,0,0,1631.90,0
__import__.product_1466820,0,0,6.10,0
__import__.product_1484062,4.60,8.30,36.90,4.60
__import__.product_1488922,0,0,11.90,0
