id,list_price,orderpoint_max,length,width,depth,default_code,orderpoint_min
__import__.product_0040097,4.40,10.000,9.20,9.20,6.70,0040097,5.000
__import__.product_0185967,7.30,4.000,5.60,5.60,6.10,0185967,2.000
__import__.product_0296459,31.00,40.000,11.90,8.90,6.40,0296459,12.000
__import__.product_0383406,38.30,4.000,10.10,9.50,6.30,0383406,2.000
__import__.product_0392704,1.50,150.000,23.80,10.00,5.90,0392704,75.000
__import__.product_0394569,3.80,20.000,18.00,14.00,4.00,0394569,10.000
__import__.product_0458323,9.40,3.000,5.80,5.80,16.20,0458323,1.000
__import__.product_0661702,3.10,10.000,10.40,7.00,6.70,0661702,5.000
__import__.product_0817023,2.00,240.000,5.70,5.70,3.30,0817023,120.000
__import__.product_0842377,25.70,20.000,3.60,3.60,6.70,0842377,10.000
__import__.product_0949002,7.70,7.000,3.30,3.30,12.10,0949002,2.000
