id,width,length,depth
__import__.product_0000001,0,0,0
__import__.product_0000002,0,0,0
__import__.product_0000003,0,0,0
__import__.product_0000004,0,0,0
__import__.product_0000005,0,0,0
__import__.product_0000006,0,0,0
__import__.product_0000007,0,0,0
__import__.product_0000008,0,0,0
__import__.product_0000009,0,0,0
__import__.product_0000010,0,0,0
__import__.product_0000940,0,0,0
__import__.product_0000941,0,0,0
__import__.product_0001257,0,0,0
__import__.product_0001258,0,0,0
__import__.product_0001259,0,0,0
__import__.product_0002844,0,0,0
__import__.product_0004528,20,24,9
__import__.product_0004551,0,0,0
__import__.product_0004560,0,0,0
__import__.product_0004588,43.8,77.7,13.8
__import__.product_0004590,0,0,0
__import__.product_0010101,0,0,0
__import__.product_0010384,0,0,0
__import__.product_0010683,0,0,0
__import__.product_0010684,0,0,0
__import__.product_0010685,0,0,0
__import__.product_0011000,6.5,6.5,15.4
__import__.product_0011001,5,5,9.6
__import__.product_0011002,4,4,9.5
__import__.product_0011003,16,19,10
__import__.product_0011004,0,0,0
__import__.product_0011005,3.4,3.4,10.5
__import__.product_0011007,3.4,3.4,8
__import__.product_0011008,2.6,2.6,8.5
__import__.product_0011009,3.9,3.9,12.1
__import__.product_0011010,0,0,0
__import__.product_0011111,0,0,0
__import__.product_0012138,0,0,0
__import__.product_0012146,0,0,0
__import__.product_0012641,0,0,0
__import__.product_0012872,0,0,0
__import__.product_0012910,16.7,18,15.1
__import__.product_0012930,0,0,0
__import__.product_0013992,0,0,0
__import__.product_0014258,0,0,0
__import__.product_0014290,5.4,9,5.4
__import__.product_0014738,0,0,0
__import__.product_0014845,0,0,0
__import__.product_0015032,0,0,0
__import__.product_0015040,0,0,0
__import__.product_0015073,0,0,0
__import__.product_0015305,4.4,4.9,12.5
__import__.product_0015735,0,0,0
__import__.product_0016097,0,0,0
__import__.product_0016188,0,0,0
__import__.product_0016261,0,0,0
__import__.product_0016311,0,0,0
__import__.product_0016501,0,0,0
__import__.product_0016634,0,0,0
__import__.product_0016832,0,0,0
__import__.product_0016980,0,0,0
__import__.product_0017000,0,0,0
__import__.product_0017004,0,0,0
__import__.product_0017005,0,0,0
__import__.product_0017301,0,0,0
__import__.product_0017566,0,0,0
__import__.product_0018028,0,0,0
__import__.product_0018105,0,0,0
__import__.product_0018234,0,0,0
__import__.product_0018291,0,0,0
__import__.product_0018507,0,0,0
__import__.product_0018572,0,0,0
__import__.product_0018614,0,0,0
__import__.product_0018671,0,0,0
__import__.product_0018911,0,0,0
__import__.product_0019190,0,0,0
__import__.product_0019455,0,0,0
__import__.product_0019554,0,0,0
__import__.product_0019786,0,0,0
__import__.product_0020008,0,0,0
__import__.product_0020113,11.7,11.7,15.6
__import__.product_0020115,16.5,17.4,15.3
__import__.product_0020212,17,18.3,15.1
__import__.product_0020214,0,0,0
__import__.product_0020400,0,0,0
