id,width,length,list_price,depth
__import__.product_5000813,0,0,6.25,0
__import__.product_5111330,0,0,2250,0
__import__.product_5147012,0,0,3.5,0
__import__.product_5244008,0,0,2558,0
__import__.product_5244016,0,0,94,0
__import__.product_5244017,0,0,178,0
__import__.product_5244037,0,0,114,0
__import__.product_5244044,0,0,1785,0
__import__.product_5244061,0,0,46,0
__import__.product_5245001,0,0,2230,0
__import__.product_5384009,0,0,41.41,0
__import__.product_6350553,29,31.5,198.99,31.4
