id,list_price,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_1007360,106.00,0,2.000,0,0,0,1.000
__import__.product_1010280,51.00,0,4.000,0,0,0,1.000
__import__.product_1010290,51.00,0,10.000,0,0,0,5.000
__import__.product_1010300,51.00,0,24.000,0,0,0,12.000
__import__.product_1010310,51.00,0,16.000,0,0,0,8.000
__import__.product_1010320,51.00,0,16.000,0,0,0,8.000
__import__.product_1010330,51.00,0,8.000,0,0,0,4.000
__import__.product_1010340,51.00,0,4.000,0,0,0,2.000
__import__.product_1010610,18.60,0,2.000,0,0,0,1.000
__import__.product_1019640,2.60,0,30.000,0,0,0,10.000
__import__.product_1019660,2.60,0,4.000,0,0,0,2.000
__import__.product_1019670,2.60,0,6.000,0,0,0,3.000
__import__.product_1019900,161.90,0,5.000,0,0,0,3.000
__import__.product_1023320,31.70,0,4.000,0,0,0,2.000
__import__.product_1148980,33.60,0.46,20.000,5.70,2.80,12.30,10.000
__import__.product_1205183,3.90,1.00,11.000,19.50,16.00,25.00,3.000
__import__.product_1211358,24.60,0.07,338.000,6.80,3.70,7.90,100.000
__import__.product_1220292,18.20,3.00,8.000,37.00,29.00,9.00,4.000
__import__.product_1230063,14.40,3.00,4.000,31.00,26.00,11.00,2.000
__import__.product_1231021,5.50,0.80,9.000,22.00,18.00,8.00,4.000
__import__.product_1232210,28.30,10.00,25.000,60.00,39.00,12.00,10.000
__import__.product_1234210,28.30,10.00,4.000,65.00,39.00,12.00,2.000
__import__.product_1255058,7.20,0.01,400.000,7.30,6.80,1.60,200.000
__import__.product_1405554,39.90,0.30,11.000,13.30,3.60,19.00,4.000
__import__.product_1421825,13.10,0.12,80.000,4.70,4.60,8.40,35.000
__import__.product_1448646,49.90,12.50,5.000,67.00,35.00,10.00,2.000
__import__.product_1655810,14.20,0.07,164.000,5.60,5.60,7.50,44.000
__import__.product_1688811,164.60,10.00,10.000,31.00,29.00,31.50,6.000
__import__.product_1778109,15.90,0.08,7.000,4.80,4.80,8.40,4.000
__import__.product_1801190,15.00,0.10,5.000,0,0,0,2.000
__import__.product_1806530,14.00,0.10,40.000,0,0,0,20.000
__import__.product_2017545,5.00,1.50,18.000,0,0,0,6.000
__import__.product_2018187,5.70,1.50,12.000,0,0,0,5.000
__import__.product_2021377,9.30,2.00,4.000,0,0,0,2.000
__import__.product_2246536,25.80,0.07,1600.000,6.80,3.80,6.90,800.000
__import__.product_2342145,123.00,0.30,14.000,8.20,4.30,20.30,7.000
__import__.product_2352292,119.10,0.13,40.000,5.00,5.00,10.10,20.000
__import__.product_2353829,4.20,0.20,783.000,5.20,5.20,9.70,210.000
__import__.product_2510550,126.40,0.30,50.000,28.50,22.00,7.40,25.000
__import__.product_2568780,77.50,0.66,146.000,19.50,14.00,12.00,43.000
__import__.product_2655298,51.70,0.10,9.000,5.30,5.30,11.00,3.000
__import__.product_2665297,7.10,0.15,40.000,0,0,0,12.000
__import__.product_2687895,40.00,14.00,241.000,74.00,39.00,12.00,103.000
__import__.product_2732980,14.90,1.50,51.000,29.00,19.00,6.00,15.000
__import__.product_2733020,14.90,1.50,36.000,29.00,19.00,6.00,12.000
__import__.product_2737625,162.50,0.10,2.000,6.80,7.00,15.50,1.000
__import__.product_2746493,9.00,0.40,250.000,5.50,17.00,24.10,140.000
__import__.product_2860179,29.90,0.20,20.000,5.20,5.20,9.80,8.000
__import__.product_2923647,5.10,0.70,31.000,9.80,9.50,15.50,15.000
__import__.product_2923654,5.10,0.70,120.000,9.80,9.00,15.80,60.000
__import__.product_2923662,5.10,0.70,68.000,9.80,9.00,15.80,32.000
__import__.product_2923670,5.10,0.70,431.000,10.00,9.00,16.00,184.000
__import__.product_2923688,5.10,0.70,127.000,9.80,9.00,15.80,55.000
__import__.product_2923696,5.10,0.70,28.000,9.80,9.00,15.80,14.000
__import__.product_2923704,5.10,0.70,91.000,10.00,9.00,16.00,39.000
__import__.product_2923712,5.10,0.70,64.000,10.00,9.50,16.00,30.000
__import__.product_2923720,5.10,0.70,175.000,9.80,9.00,15.80,83.000
__import__.product_2923738,5.10,0.70,16.000,10.00,9.00,16.00,8.000
__import__.product_2933786,12.30,0.20,106.000,0,0,0,19.000
__import__.product_2933794,12.30,0.20,116.000,0,0,0,20.000
__import__.product_2977668,17.70,1.60,4.000,0,0,0,2.000
__import__.product_2977742,20.90,3.00,5.000,0,0,0,3.000
__import__.product_3011566,25.40,0.10,24.000,0,0,0,12.000
__import__.product_3022613,20.40,0.10,6.000,0,0,0,3.000
__import__.product_3057171,30.00,0.10,48.000,0,0,0,36.000
__import__.product_3078755,38.60,10.00,32.000,0,0,0,12.000
