id,price,product_code,name/id,product_tmpl_id/id
__import__.supplierinfo_60422-3411824,7.56,033906,__import__.supplier_60422,__import__.product_3411824_product_template
__import__.supplierinfo_60422-3562154,12.15,034109,__import__.supplier_60422,__import__.product_3562154_product_template
__import__.supplierinfo_60422-3562162,15.80,034110,__import__.supplier_60422,__import__.product_3562162_product_template
__import__.supplierinfo_60422-3577061,46.71,033913,__import__.supplier_60422,__import__.product_3577061_product_template
__import__.supplierinfo_60422-5031200,8.54,040353 CFT520,__import__.supplier_60422,__import__.product_5031200_product_template
__import__.supplierinfo_60425-5259828,69.37,VDFAVI1000,__import__.supplier_60425,__import__.product_5259828_product_template
__import__.supplierinfo_60441-5645002,150.66,0040,__import__.supplier_60441,__import__.product_5645002_product_template
__import__.supplierinfo_61400-5663212,13700.00,ENSEMBLE FUJINON,__import__.supplier_61400,__import__.product_5663212_product_template
__import__.supplierinfo_61400-5989098,450.00,DATEX CATHODIQUE,__import__.supplier_61400,__import__.product_5989098_product_template
__import__.supplierinfo_61520-8001938,0.22,DI-150,__import__.supplier_61520,__import__.product_8001938_product_template
__import__.supplierinfo_61520-8014935,1.60,TSK-04,__import__.supplier_61520,__import__.product_8014935_product_template
__import__.supplierinfo_61520-8053639,1.60,TSK-04B,__import__.supplier_61520,__import__.product_8053639_product_template
__import__.supplierinfo_61520-8058269,0.22,DI-10,__import__.supplier_61520,__import__.product_8058269_product_template
__import__.supplierinfo_61520-8212718,0.51,NT-52-RA,__import__.supplier_61520,__import__.product_8212718_product_template
__import__.supplierinfo_61520-8290687,0.65,PF-04,__import__.supplier_61520,__import__.product_8290687_product_template
__import__.supplierinfo_61520-8335674,0.34,A65,__import__.supplier_61520,__import__.product_8335674_product_template
__import__.supplierinfo_61520-8486686,0.05,TP-INTER,__import__.supplier_61520,__import__.product_8486686_product_template
__import__.supplierinfo_61594-5159403,5.45,,__import__.supplier_61594,__import__.product_5159403_product_template
__import__.supplierinfo_61608-2371813,5.23,,__import__.supplier_61608,__import__.product_2371813_product_template
__import__.supplierinfo_61608-2413359,4.20,,__import__.supplier_61608,__import__.product_2413359_product_template
__import__.supplierinfo_61608-2413409,3.58,,__import__.supplier_61608,__import__.product_2413409_product_template
__import__.supplierinfo_61608-3011343,3.66,,__import__.supplier_61608,__import__.product_3011343_product_template
