id,discount_pricelist_id/id
__import__.customer_1811,__setup__.pricelist_311
__import__.customer_3528,__setup__.pricelist_100
__import__.customer_4674,__setup__.pricelist_304
__import__.customer_5889,__setup__.pricelist_110
__import__.customer_6117,__setup__.pricelist_105
__import__.customer_7035,__setup__.pricelist_105
__import__.customer_7052,__setup__.pricelist_100
__import__.customer_719,__setup__.pricelist_109
__import__.customer_7237,__setup__.pricelist_109
__import__.customer_7622,__setup__.pricelist_303
__import__.customer_7771,__setup__.pricelist_315
__import__.customer_8030,__setup__.pricelist_109
__import__.customer_8198,__setup__.pricelist_109
