id,customer,city,fax,name,zip,mobile,country_id/id,email,phone,street,alcyon_category_id/id,supplier,ref,vat,lang
__import__.supplier_74005,False,ARCHENNES,,M 5,1390,,base.be,,,rue de la Plaine 23/1,__setup__.partner_category_supplier,True,74005,,fr_BE
__import__.supplier_73607,False,BRUXELLES,,LA BRIQUE,1050,0479/172218,base.be,,,rue Augustin Delporte 28,__setup__.partner_category_supplier,True,73607,,fr_BE
__import__.supplier_79591,False,BRUXELLES,02/4644829,TECSI,1082,,base.be,,02/4644810,rue Nestor Martinstraat 315,__setup__.partner_category_supplier,True,79591,,fr_BE
__import__.supplier_61713,False,BRUXELLES,027266645,NIKON BELUX,1130,,base.be,,02/7055665,Bourgetlaan 50,__setup__.partner_category_supplier,True,61713,,fr_BE
__import__.supplier_73894,False,CRENDAL,,LOGEM,9743,,base.lu,,,Maison 14,__setup__.partner_category_supplier,True,73894,,fr_BE
__import__.supplier_60441,False,DEOLS,0033254220541,ACTION MEDICALE,36130,,base.fr,,0033254075325,Rue Clémenceau 740,__setup__.partner_category_supplier,True,60441,,fr_BE
__import__.supplier_82460,False,GRIMBERGEM,,JORIS DE SWERT,1850,0473/985500,base.be,Deswert.Joris@gmail.com,,Dressaertlaan 36,__setup__.partner_category_supplier,True,82460,,fr_BE
__import__.supplier_63646,False,HUY,085/250584,DAISY FLOWERS,4500,,base.be,,085/211727,rue des Brasseurs 25-27-29,__setup__.partner_category_supplier,True,63646,,fr_BE
__import__.supplier_63668,False,KOELN,004922363913409,P.J.DAHLHAUSEN & CO GMBH,50996,,base.de,isabel.maus@dahlhausen.de,004922363913412,Emil-Hoffmann strasse 53,__setup__.partner_category_supplier,True,63668,,fr_BE
__import__.supplier_78565,False,LIEGE,04/2201200,RESA,4000,,base.be,,04/2201211,Rue Louvrex 95,__setup__.partner_category_supplier,True,78565,,fr_BE
__import__.supplier_81598,False,MERELBEKE,09/2647791,UNIVERSITEIT GENT,9820,,base.be,,09/2647700,Salisburylaan 133 D4,__setup__.partner_category_supplier,True,81598,,fr_BE
__import__.supplier_66919,False,MONTEGNEE,04/2620692,FHS EVENT,4420,0486/226447,base.be,,,rue Florent Joannès,__setup__.partner_category_supplier,True,66919,,fr_BE
__import__.supplier_76112,False,NONCEVEUX,,OFFERMANS CHRISTELLE,4920,0478/443837,base.be,,,rue du Fond 80,__setup__.partner_category_supplier,True,76112,,fr_BE
__import__.supplier_79244,False,PHOENIX,0018005228329,SMART PRACTICE,AZ 85008,,base.us,,0018005220800,P.O BOX 29222,__setup__.partner_category_supplier,True,79244,,fr_BE
__import__.supplier_71033,False,QUICKBORN,00494106775833,ILO ELECTRONIC GMBH,25451,,base.de,l.calcastro@ilo.com,0049/410677580,Carl-Zeiss strasse 3,__setup__.partner_category_supplier,True,71033,,fr_BE
__import__.supplier_64296,False,RA HEEZE,,GREAT PREMIUMS EUROPE BV,5591,,base.nl,info@doginoir.eu,0031/402240755,De Boelakkers 27C,__setup__.partner_category_supplier,True,64296,,fr_BE
__import__.supplier_63645,False,St JACQUES DE LA LANDE,0033299508735 *,DAIRY SPARES,35136,,base.fr,,0033299536230,Rue de la Teillais 4,__setup__.partner_category_supplier,True,63645,,fr_BE
__import__.supplier_77515,False,TERNITZ,,PETWALK SOLUTIONS GMBH CO KG,2620,,base.at,office@petwalk.at,,Josef Huber Strasse 6 Top 1,__setup__.partner_category_supplier,True,77515,,fr_BE
__import__.supplier_79237,False,VILVOORDE,022574051,HENRY SHEIN DENTAL,1800,,base.be,info@henryshein.be,02/2574050,Luchthavenlaan 20,__setup__.partner_category_supplier,True,79237,,fr_BE
__import__.supplier_62605,False,VIVEGNIS,04/2400960,BELCAM.ID,4683,,base.be,,04/2643307,rue Joseph Wauters 59,__setup__.partner_category_supplier,True,62605,,fr_BE
__import__.supplier_68120,False,WALHAIN,010/658268,HAGELSTEIN VINCENT,1457,,base.be,,010/656558,rue du Vieux Château 9 bte 4,__setup__.partner_category_supplier,True,68120,,fr_BE
__import__.supplier_83100,False,WILTSHIRE,,MAI ANIMAL HEALTH,SN12 6TJ,,base.uk,,0033631593663,Merlin Way 4,__setup__.partner_category_supplier,True,83100,,fr_BE
