id,active,list_price,categ_id/id
__import__.product_2496001,False,46.61,specific_data.product_categ__mat_equipement
__import__.product_4707044,False,12.78,specific_data.product_categ__ali_comp
__import__.product_5051001,False,46.61,specific_data.product_categ__mat_equipement
__import__.product_5099020,False,13.45,specific_data.product_categ__mat_equipement
__import__.product_5105061,False,30.40,specific_data.product_categ__mat_equipement
__import__.product_5410111,False,20.54,specific_data.product_categ__mat_equipement
__import__.product_5740262,False,20.54,specific_data.product_categ__mat_equipement
__import__.product_5802843,True,24.81,specific_data.product_categ__ali_dietetique
__import__.product_5917418,False,31.50,specific_data.product_categ__mat_conso
__import__.product_8104621,True,175.00,specific_data.product_categ__ali_comp
__import__.product_8104727,True,96.00,specific_data.product_categ__ali_comp
__import__.product_8258293,False,141.70,specific_data.product_categ__mat_conso
__import__.product_8338885,False,31.63,specific_data.product_categ__mat_rurale
