id,box,kind,name,zone,bin_checksum_1,location_id/id,corridor,shelf,height
__import__.location_loc_EOA100,00,bin,EOA100,E,,__import__.location_family_E,O,A,1
__import__.location_loc_EOB100,00,bin,EOB100,E,,__import__.location_family_E,O,B,1
__import__.location_loc_EOC100,00,bin,EOC100,E,,__import__.location_family_E,O,C,1
__import__.location_loc_EOD100,00,bin,EOD100,E,,__import__.location_family_E,O,D,1
__import__.location_loc_EOI100,00,bin,EOI100,E,,__import__.location_family_E,O,I,1
__import__.location_loc_EOB200,00,bin,EOB200,E,,__import__.location_family_E,O,B,2
__import__.location_loc_EOC200,00,bin,EOC200,E,,__import__.location_family_E,O,C,2
__import__.location_loc_EXU000,00,bin,EXU000,E,,__import__.location_family_E,X,U,0
__import__.location_loc_EXV000,00,bin,EXV000,E,,__import__.location_family_E,X,V,0
__import__.location_loc_EXZ000,00,bin,EXZ000,E,,__import__.location_family_E,X,Z,0
__import__.location_loc_EXA100,00,bin,EXA100,E,,__import__.location_family_E,X,A,1
__import__.location_loc_EXB100,00,bin,EXB100,E,,__import__.location_family_E,X,B,1
__import__.location_loc_EXC100,00,bin,EXC100,E,,__import__.location_family_E,X,C,1
__import__.location_loc_EXD100,00,bin,EXD100,E,,__import__.location_family_E,X,D,1
__import__.location_loc_EXE100,00,bin,EXE100,E,,__import__.location_family_E,X,E,1
__import__.location_loc_EXF100,00,bin,EXF100,E,,__import__.location_family_E,X,F,1
__import__.location_loc_EXG100,00,bin,EXG100,E,,__import__.location_family_E,X,G,1
__import__.location_loc_EXI100,00,bin,EXI100,E,,__import__.location_family_E,X,I,1
__import__.location_loc_EXJ100,00,bin,EXJ100,E,,__import__.location_family_E,X,J,1
__import__.location_loc_EXK100,00,bin,EXK100,E,,__import__.location_family_E,X,K,1
__import__.location_loc_EXL100,00,bin,EXL100,E,,__import__.location_family_E,X,L,1
__import__.location_loc_EXN100,00,bin,EXN100,E,,__import__.location_family_E,X,N,1
__import__.location_loc_EXO100,00,bin,EXO100,E,,__import__.location_family_E,X,O,1
__import__.location_loc_EXP100,00,bin,EXP100,E,,__import__.location_family_E,X,P,1
__import__.location_loc_EXR100,00,bin,EXR100,E,,__import__.location_family_E,X,R,1
__import__.location_loc_EXT100,00,bin,EXT100,E,,__import__.location_family_E,X,T,1
__import__.location_loc_EXU100,00,bin,EXU100,E,,__import__.location_family_E,X,U,1
__import__.location_loc_EXZ100,00,bin,EXZ100,E,,__import__.location_family_E,X,Z,1
__import__.location_loc_EXA200,00,bin,EXA200,E,,__import__.location_family_E,X,A,2
__import__.location_loc_EXB200,00,bin,EXB200,E,,__import__.location_family_E,X,B,2
__import__.location_loc_EXC200,00,bin,EXC200,E,,__import__.location_family_E,X,C,2
__import__.location_loc_EXD200,00,bin,EXD200,E,,__import__.location_family_E,X,D,2
__import__.location_loc_EXE200,00,bin,EXE200,E,,__import__.location_family_E,X,E,2
__import__.location_loc_EXF200,00,bin,EXF200,E,,__import__.location_family_E,X,F,2
__import__.location_loc_EXG200,00,bin,EXG200,E,,__import__.location_family_E,X,G,2
__import__.location_loc_EXH200,00,bin,EXH200,E,,__import__.location_family_E,X,H,2
__import__.location_loc_EXI200,00,bin,EXI200,E,,__import__.location_family_E,X,I,2
__import__.location_loc_EXJ200,00,bin,EXJ200,E,,__import__.location_family_E,X,J,2
__import__.location_loc_EXK200,00,bin,EXK200,E,,__import__.location_family_E,X,K,2
__import__.location_loc_EXL200,00,bin,EXL200,E,,__import__.location_family_E,X,L,2
__import__.location_loc_EXP200,00,bin,EXP200,E,,__import__.location_family_E,X,P,2
__import__.location_loc_EXQ200,00,bin,EXQ200,E,,__import__.location_family_E,X,Q,2
__import__.location_loc_EXR200,00,bin,EXR200,E,,__import__.location_family_E,X,R,2
__import__.location_loc_EXT200,00,bin,EXT200,E,,__import__.location_family_E,X,T,2
__import__.location_loc_EXV200,00,bin,EXV200,E,,__import__.location_family_E,X,V,2
__import__.location_loc_EXA300,00,bin,EXA300,E,,__import__.location_family_E,X,A,3
__import__.location_loc_EXB300,00,bin,EXB300,E,,__import__.location_family_E,X,B,3
__import__.location_loc_EXC300,00,bin,EXC300,E,,__import__.location_family_E,X,C,3
__import__.location_loc_EXD300,00,bin,EXD300,E,,__import__.location_family_E,X,D,3
__import__.location_loc_EXE300,00,bin,EXE300,E,,__import__.location_family_E,X,E,3
__import__.location_loc_EXF300,00,bin,EXF300,E,,__import__.location_family_E,X,F,3
__import__.location_loc_EXG300,00,bin,EXG300,E,,__import__.location_family_E,X,G,3
__import__.location_loc_EXH300,00,bin,EXH300,E,,__import__.location_family_E,X,H,3
__import__.location_loc_EXI300,00,bin,EXI300,E,,__import__.location_family_E,X,I,3
__import__.location_loc_EXJ300,00,bin,EXJ300,E,,__import__.location_family_E,X,J,3
__import__.location_loc_EXK300,00,bin,EXK300,E,,__import__.location_family_E,X,K,3
__import__.location_loc_EXL300,00,bin,EXL300,E,,__import__.location_family_E,X,L,3
__import__.location_loc_EXS300,00,bin,EXS300,E,,__import__.location_family_E,X,S,3
