id,route_ids/id,name,categ_id/id
__import__.product_5020691,purchase.route_warehouse0_buy,PINCETTE MORS LARGE 12cm,specific_data.product_categ__mat_instrumentation
__import__.product_5025329,purchase.route_warehouse0_buy,"AIGUILLON VILLETTE 4,5V 3000V",specific_data.product_categ__mat_equipement
__import__.product_5552613,purchase.route_warehouse0_buy,"TTA VIS 2,4mm INOX HEXAG. 6mm       2613",specific_data.product_categ__mat_ortho
__import__.product_5825284,purchase.route_warehouse0_buy,HAIRBALL CONTROL ADULT URINARY 6x300GR,specific_data.product_categ__ali_physio
__import__.product_5851318,purchase.route_warehouse0_buy,CROCHET A OVARIECTOMIE 20cm PLAT,specific_data.product_categ__mat_instrumentation
__import__.product_8020255,purchase.route_warehouse0_buy,ECARTEUR DE GELPI 18cm QC,specific_data.product_categ__mat_ortho
__import__.product_8020723,purchase.route_warehouse0_buy,PINCETTE MORS LARGE 18cm,specific_data.product_categ__mat_instrumentation
__import__.product_8023584,purchase.route_warehouse0_buy,PINCE BULLDOG COURBE 5cm,specific_data.product_categ__mat_instrumentation
__import__.product_8156708,purchase.route_warehouse0_buy,DRICHEM SAV PAPIER THERMIQUE TP2 x5,specific_data.product_categ__mat_conso
__import__.product_8184637,purchase.route_warehouse0_buy,"BROCHE 1PTE FIL.POS.TERMINAL 15cmx1,5mm/",specific_data.product_categ__mat_ortho
