id,active,categ_id/id
__import__.product_0025700,False,specific_data.product_categ__humain
__import__.product_0029058,False,specific_data.product_categ__humain
__import__.product_0091090,False,specific_data.product_categ__humain
__import__.product_0105924,False,specific_data.product_categ__humain
__import__.product_0115816,False,specific_data.product_categ__humain
__import__.product_0129015,False,specific_data.product_categ__humain
__import__.product_0277095,False,specific_data.product_categ__mat_conso
__import__.product_0298778,False,specific_data.product_categ__humain
__import__.product_0445098,False,specific_data.product_categ__antimicrobiens
__import__.product_0458091,False,specific_data.product_categ__humain
__import__.product_0603233,False,specific_data.product_categ__humain
__import__.product_0808626,False,specific_data.product_categ__humain
__import__.product_0834432,False,specific_data.product_categ__humain
__import__.product_0842443,False,specific_data.product_categ__hormones
__import__.product_1027036,False,specific_data.product_categ__humain
__import__.product_1072594,False,specific_data.product_categ__ali_comp
__import__.product_1101997,False,specific_data.product_categ__vaccins
__import__.product_1156181,False,specific_data.product_categ__humain
__import__.product_1156561,False,specific_data.product_categ__humain
__import__.product_1272616,False,specific_data.product_categ__antimicrobiens
__import__.product_1311273,False,specific_data.product_categ__vaccins
__import__.product_1405177,False,specific_data.product_categ__mat_cardio
__import__.product_1464064,False,specific_data.product_categ__humain
__import__.product_1527622,False,specific_data.product_categ__mat_img_echo
__import__.product_1527649,False,specific_data.product_categ__mat_img_echo
__import__.product_1527744,False,specific_data.product_categ__mat_img_echo
__import__.product_1529999,False,specific_data.product_categ__mat_img_echo
__import__.product_1597186,False,specific_data.product_categ__humain
__import__.product_1640601,False,specific_data.product_categ__mat_equipement
__import__.product_1656941,False,specific_data.product_categ__humain
__import__.product_1690908,False,specific_data.product_categ__ali_comp
__import__.product_1712231,False,specific_data.product_categ__humain
__import__.product_1752115,False,specific_data.product_categ__mat_instrumentation
__import__.product_1804050,False,specific_data.product_categ__importation
__import__.product_1808540,False,specific_data.product_categ__importation
__import__.product_2275717,False,specific_data.product_categ__humain
__import__.product_2328888,False,specific_data.product_categ__divers_para
__import__.product_2434611,False,specific_data.product_categ__humain
__import__.product_2437333,False,specific_data.product_categ__divers_para
__import__.product_2443059,False,specific_data.product_categ__divers_veto
__import__.product_2443075,False,specific_data.product_categ__divers_veto
__import__.product_2475861,False,specific_data.product_categ__divers_veto
__import__.product_2486001,False,specific_data.product_categ__mat_equipement
__import__.product_2486002,False,specific_data.product_categ__mat_equipement
__import__.product_2488740,False,specific_data.product_categ__divers_veto
__import__.product_2518827,False,specific_data.product_categ__antimicrobiens
__import__.product_2522047,False,specific_data.product_categ__mat_equipement
__import__.product_2556488,False,specific_data.product_categ__ali_comp
__import__.product_2648830,False,specific_data.product_categ__ali_comp
