id,sale_delay,list_price,name,weight,uom_id/id,taxes_id/id,medical_device,supplier_taxes_id/id,tracking,default_code,active,categ_id/id,route_ids/id,price_category_id/id,uom_po_id/id
__import__.product_5865027,0,0,ROYAL CANIN : 1 SHOPPINGBAG,0.200,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-21-L,,l10n_be.1_attn_VAT-IN-V81-21,none,5865027,False,__temp__.product_categ_undefined,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_1218775,0,0,TRAUMEEL S 250CP,0,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-06-L,,l10n_be.1_attn_VAT-IN-V81-06,none,1218775,False,specific_data.product_categ__humain,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_3019126,0,0,MOUSKITO FORTE SPRAY 100ML,0,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-06-L,,l10n_be.1_attn_VAT-IN-V81-06,none,3019126,False,specific_data.product_categ__humain,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_6716544,0,0,NEOMYCINE 50 POUDRE ORALE 1KG,0,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-06-L,,l10n_be.1_attn_VAT-IN-V81-06,none,6716544,False,specific_data.product_categ__humain,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_9253641,0,0,TRAUMEEL GOUTTES 30ML,0,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-06-L,,l10n_be.1_attn_VAT-IN-V81-06,none,9253641,False,specific_data.product_categ__humain,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_5054807,0,31.25,EURICAN HERPES 1dose (cascade),0.100,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-06-L,,l10n_be.1_attn_VAT-IN-V81-06,lot,5054807,False,specific_data.product_categ__importation,purchase.route_warehouse0_buy,specific_product.product_price_category_imp,product.product_uom_unit
__import__.product_5167000,0,15.05,IM3 CONNECTEUR RAPIDE MALE AIR/EAU,0,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-21-L,,l10n_be.1_attn_VAT-IN-V81-21,none,5167000,False,specific_data.product_categ__mat_dentisterie,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_1005820,0,1691.11,"LAMPE FRONTALE ML4 LED LOUPE 2,5 MPA",0,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-21-L,True,l10n_be.1_attn_VAT-IN-V81-21,none,1005820,False,specific_data.product_categ__mat_equipement,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5326234,0,38.71,BLOUSE CHEROKEE 2 POCHES LOVE XL,0,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-21-L,,l10n_be.1_attn_VAT-IN-V81-21,none,5326234,False,specific_data.product_categ__mat_equipement,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_54018543,0,28.69,ATTERIE POUR TONDEUSE MOSER ARCO 1854,0,product.product_uom_unit,l10n_be.1_attn_VAT-OUT-21-L,,l10n_be.1_attn_VAT-IN-V81-21,none,54018543,False,specific_data.product_categ__mat_equipement,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
