id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
account.access_product_product_account_manager,product.product.account.manager,product.model_product_product,account.group_account_manager,1,0,0,0
sale.access_product_product_sale_manager,product.product salemanager,product.model_product_product,sales_team.group_sale_manager,1,0,0,0
stock.access_product_product_stock_user,product_product_stock_user,product.model_product_product,stock.group_stock_user,1,0,0,0
stock.access_product_product_stock_manager,product.product stock_manager,product.model_product_product,stock.group_stock_manager,1,0,0,0
mrp.access_product_product_mrp_manager,product.product mrp_manager,product.model_product_product,mrp.group_mrp_manager,1,0,0,0
account.access_product_template_account_manager,product.template.account.manager,product.model_product_template,account.group_account_manager,1,0,0,0
sale.access_product_template_sale_manager,product.template salemanager,product.model_product_template,sales_team.group_sale_manager,1,0,0,0
stock.access_product_template_stock_user,product.template stock user,product.model_product_template,stock.group_stock_user,1,0,0,0
stock.access_product_template_stock_manager,product.template stock_manager,product.model_product_template,stock.group_stock_manager,1,0,0,0
mrp.access_product_template_mrp_manager,product.template mrp_manager,product.model_product_template,mrp.group_mrp_manager,1,0,0,0
access_product_product_materials_manager,access_product_product_materials_manager,product.model_product_product,group_materials_manager,1,1,1,1
access_product_template_materials_manager,access_product_template_materials_manager,product.model_product_template,group_materials_manager,1,1,1,1
base.access_res_partner_group_partner_manager,base.res_partner group_partner_manager,base.model_res_partner,base.group_partner_manager,1,0,0,0
stock.access_product_group_res_partner_stock_manager,stock.res_partner group_stock_manager,base.model_res_partner,stock.group_stock_manager,1,0,0,0
mrp.access_product_group_res_partner_mrp_manager,res_partner group_mrp_manager,base.model_res_partner,mrp.group_mrp_manager,1,0,0,0
access_res_partner_accounting,access_res_partner_accounting,base.model_res_partner,account.group_account_user,1,1,1,0
access_queue_job_users,access_queue_job_users,queue_job.model_queue_job,base.group_user,1,0,0,0
access_account_cutoff_line_group_user,access_account_cutoff_line_group_user,account_cutoff_base.model_account_cutoff_line,base.group_user,1,0,0,0
access_stock_inventory_account_user,account.stock.inventory,stock.model_stock_inventory,account.group_account_user,1,0,0,0
access_stock_inventory_line_account_user,account.stock.inventory.line,stock.model_stock_inventory_line,account.group_account_user,1,0,0,0
