id,date_end
__import__.supplierinfo_promo_66906-2249589-20130801,2018-05-31
__import__.supplierinfo_promo_66906-2249597-20141001,2018-05-31
__import__.supplierinfo_promo_66906-2249605-20141001,2018-05-31
__import__.supplierinfo_promo_66906-2249613-20130801,2018-05-31
__import__.supplierinfo_promo_66906-2249621-20130801,2018-05-31
__import__.supplierinfo_promo_66906-2249639-20130801,2018-05-31
__import__.supplierinfo_promo_66906-2518827-20130801,2018-05-31
__import__.supplierinfo_promo_66906-2518835-20161101,2018-05-31
__import__.supplierinfo_promo_66906-2727253-20180301,2018-05-31
__import__.supplierinfo_promo_66906-2837243-20150313,2018-05-31
__import__.supplierinfo_promo_66906-2837250-20180104,2018-05-31
__import__.supplierinfo_promo_66906-2837268-20150313,2018-05-31
__import__.supplierinfo_promo_66906-2919918-20180201,2018-05-31
__import__.supplierinfo_promo_66906-2997674-20160201,2018-05-31
__import__.supplierinfo_promo_66906-3057171-20180117,2018-05-31
__import__.supplierinfo_promo_66906-3078755-20150313,2018-05-31
__import__.supplierinfo_promo_66906-3083763-20150313,2018-05-31
__import__.supplierinfo_promo_66906-3083789-20150313,2018-05-31
__import__.supplierinfo_promo_66906-3267952-20150701,2018-05-31
__import__.supplierinfo_promo_66906-3275609-20180323,2018-05-31
__import__.supplierinfo_promo_66906-3275617-20180323,2018-05-31
__import__.supplierinfo_promo_66906-3294015-20180201,2018-05-31
__import__.supplierinfo_promo_66906-3309184-20180201,2018-05-31
__import__.supplierinfo_promo_66906-3309192-20180201,2018-05-31
__import__.supplierinfo_promo_66906-3309200-20180301,2018-05-31
__import__.supplierinfo_promo_66906-3309218-20180420,2018-05-31
__import__.supplierinfo_promo_66906-3496551-20180329,2018-05-31
__import__.supplierinfo_promo_66906-3587268-20180319,2018-05-31
__import__.supplierinfo_promo_66906-3641677-20180117,2018-05-31
__import__.supplierinfo_promo_66906-3641909-20171023,2018-05-31
__import__.supplierinfo_promo_66906-3641982-20180308,2018-05-31
__import__.supplierinfo_promo_66906-3679719-20180329,2018-05-31
__import__.supplierinfo_promo_66906-3679727-20180319,2018-05-31
__import__.supplierinfo_promo_66906-3686599-20180301,2018-05-31
__import__.supplierinfo_promo_66906-3686607-20180301,2018-05-31
__import__.supplierinfo_promo_66906-3686615-20180301,2018-05-31
__import__.supplierinfo_promo_66906-3686623-20180301,2018-05-31
__import__.supplierinfo_promo_66906-3687498-20180301,2018-05-31
__import__.supplierinfo_promo_66906-5690602-20161001,2018-05-31
__import__.supplierinfo_promo_79100-0830679-20180101,2018-06-30
__import__.supplierinfo_promo_79100-1067768-20180101,2018-06-30
__import__.supplierinfo_promo_79100-1202225-20180101,2018-06-30
__import__.supplierinfo_promo_79100-1660380-20180101,2018-06-30
__import__.supplierinfo_promo_79100-2123842-20180401,2018-06-30
__import__.supplierinfo_promo_79100-2328854-20180401,2018-05-31
__import__.supplierinfo_promo_79100-2328862-20180401,2018-05-31
__import__.supplierinfo_promo_79100-2328904-20180401,2018-05-31
__import__.supplierinfo_promo_79100-2435873-20180401,2018-06-30
