id,product_code
__import__.supplierinfo_promo_62758-0250019-20160401,0250019
__import__.supplierinfo_promo_62758-0250019-20160601,0250019
__import__.supplierinfo_promo_62758-0250019-20160801,0250019
__import__.supplierinfo_promo_62758-0250019-20161001,0250019
__import__.supplierinfo_promo_62758-0250019-20161201,0250019
__import__.supplierinfo_promo_62758-0250019-20170201,0250019
__import__.supplierinfo_promo_62758-0250019-20170601,0250019
__import__.supplierinfo_promo_62758-0250019-20170801,0250019
__import__.supplierinfo_promo_62758-0250019-20171001,0250019
__import__.supplierinfo_promo_62758-0250019-20171201,0250019
__import__.supplierinfo_promo_62758-0250019-20180301,0250019
__import__.supplierinfo_promo_62758-1013481-20171101,1013481
__import__.supplierinfo_promo_62758-1114099-20160101,1114099
__import__.supplierinfo_promo_62758-1114099-20160301,1114099
__import__.supplierinfo_promo_62758-1114099-20160501,1114099
__import__.supplierinfo_promo_62758-1114099-20160701,1114099
__import__.supplierinfo_promo_62758-1114099-20160901,1114099
__import__.supplierinfo_promo_62758-1114099-20161101,1114099
__import__.supplierinfo_promo_62758-1114099-20170101,1114099
__import__.supplierinfo_promo_62758-1114099-20170301,1114099
__import__.supplierinfo_promo_62758-1114099-20170501,1114099
__import__.supplierinfo_promo_62758-1114099-20170701,1114099
__import__.supplierinfo_promo_62758-1114099-20170901,1114099
__import__.supplierinfo_promo_62758-1114099-20171101,1114099
__import__.supplierinfo_promo_62758-1114099-20180301,1114099
__import__.supplierinfo_promo_62758-1331222-20160101,1331222
__import__.supplierinfo_promo_62758-1331222-20160301,1331222
__import__.supplierinfo_promo_62758-1331222-20160501,1331222
__import__.supplierinfo_promo_62758-1331222-20160701,1331222
__import__.supplierinfo_promo_62758-1331222-20160901,1331222
__import__.supplierinfo_promo_62758-1331222-20161101,1331222
__import__.supplierinfo_promo_62758-1331222-20170101,1331222
__import__.supplierinfo_promo_62758-1331222-20170301,1331222
__import__.supplierinfo_promo_62758-1331222-20170501,1331222
__import__.supplierinfo_promo_62758-1331222-20170701,1331222
__import__.supplierinfo_promo_62758-1331222-20170901,1331222
__import__.supplierinfo_promo_62758-1331222-20171101,1331222
__import__.supplierinfo_promo_62758-1331222-20180301,1331222
__import__.supplierinfo_promo_62758-1331313-20160101,1331313
__import__.supplierinfo_promo_62758-1331313-20160301,1331313
__import__.supplierinfo_promo_62758-1331313-20160501,1331313
__import__.supplierinfo_promo_62758-1331313-20160701,1331313
__import__.supplierinfo_promo_62758-1331313-20160901,1331313
__import__.supplierinfo_promo_62758-1331313-20161101,1331313
__import__.supplierinfo_promo_62758-1331313-20170101,1331313
__import__.supplierinfo_promo_62758-1331313-20170301,1331313
__import__.supplierinfo_promo_62758-1331313-20170501,1331313
__import__.supplierinfo_promo_62758-1331313-20170701,1331313
__import__.supplierinfo_promo_62758-1331313-20170901,1331313
