id,name/id,price,product_tmpl_id/id,min_qty_sale,product_code
__import__.supplierinfo_66008-3643525,__import__.supplier_66008,60.00,__import__.product_3643525_product_template,1,
__import__.supplierinfo_66008-3643533,__import__.supplier_66008,35.00,__import__.product_3643533_product_template,1,
__import__.supplierinfo_66008-3643541,__import__.supplier_66008,30.00,__import__.product_3643541_product_template,1,
__import__.supplierinfo_66008-3664174,__import__.supplier_66008,30.00,__import__.product_3664174_product_template,1,
__import__.supplierinfo_66008-3664182,__import__.supplier_66008,55.00,__import__.product_3664182_product_template,1,
__import__.supplierinfo_68250-5603553,__import__.supplier_68250,40.47,__import__.product_5603553_product_template,1,603553
__import__.supplierinfo_68250-5810707,__import__.supplier_68250,40.47,__import__.product_5810707_product_template,1,10707N
__import__.supplierinfo_68403-5840345,__import__.supplier_68403,10.71,__import__.product_5840345_product_template,1,
__import__.supplierinfo_68403-5840346,__import__.supplier_68403,24.33,__import__.product_5840346_product_template,1,
__import__.supplierinfo_69115-5904149,__import__.supplier_69115,36.50,__import__.product_5904149_product_template,1,42 1401 48/49
__import__.supplierinfo_73642-5331711,__import__.supplier_73642,6.50,__import__.product_5331711_product_template,1,31711E
__import__.supplierinfo_73642-5331721,__import__.supplier_73642,6.50,__import__.product_5331721_product_template,1,31721E
__import__.supplierinfo_73642-5331731,__import__.supplier_73642,6.50,__import__.product_5331731_product_template,1,31731E
__import__.supplierinfo_73642-5332150,__import__.supplier_73642,2.99,__import__.product_5332150_product_template,1,32150E
__import__.supplierinfo_73642-5332350,__import__.supplier_73642,2.99,__import__.product_5332350_product_template,1,32350E
__import__.supplierinfo_73642-5332650,__import__.supplier_73642,2.99,__import__.product_5332650_product_template,1,32650E
__import__.supplierinfo_73642-5332850,__import__.supplier_73642,2.99,__import__.product_5332850_product_template,1,32850E
__import__.supplierinfo_73642-5336030,__import__.supplier_73642,2.00,__import__.product_5336030_product_template,1,36030E
__import__.supplierinfo_73657-5012150,__import__.supplier_73657,3.31,__import__.product_5012150_product_template,1,74012150
__import__.supplierinfo_77666-3427267,__import__.supplier_77666,0,__import__.product_3427267_product_template,1,
__import__.supplierinfo_77690-5512024,__import__.supplier_77690,7.55,__import__.product_5512024_product_template,1,
__import__.supplierinfo_78650-4004130,__import__.supplier_78650,12.84,__import__.product_4004130_product_template,1,
__import__.supplierinfo_78650-4004131,__import__.supplier_78650,14.90,__import__.product_4004131_product_template,1,
__import__.supplierinfo_78650-4004132,__import__.supplier_78650,13.86,__import__.product_4004132_product_template,1,
__import__.supplierinfo_78650-4004133,__import__.supplier_78650,13.86,__import__.product_4004133_product_template,1,
__import__.supplierinfo_78650-4004134,__import__.supplier_78650,13.86,__import__.product_4004134_product_template,1,
__import__.supplierinfo_79000-1020180,__import__.supplier_79000,1473.61,__import__.product_1020180_product_template,1,J-008.31.442
__import__.supplierinfo_79200-5116025,__import__.supplier_79200,27.74,__import__.product_5116025_product_template,1,11600025
__import__.supplierinfo_79200-5118015,__import__.supplier_79200,28.50,__import__.product_5118015_product_template,1,11800015
__import__.supplierinfo_79200-5171530,__import__.supplier_79200,10.72,__import__.product_5171530_product_template,1,5351530
__import__.supplierinfo_79200-5181524,__import__.supplier_79200,10.57,__import__.product_5181524_product_template,1,5301524
__import__.supplierinfo_79200-5181530,__import__.supplier_79200,10.57,__import__.product_5181530_product_template,1,5301530
__import__.supplierinfo_79204-5620888,__import__.supplier_79204,4532.00,__import__.product_5620888_product_template,1,0620B-CTO-S01
__import__.supplierinfo_79462-5268505,__import__.supplier_79462,0,__import__.product_5268505_product_template,1,J-27-403
__import__.supplierinfo_81200-3323771,__import__.supplier_81200,16.11,__import__.product_3323771_product_template,1,40170
__import__.supplierinfo_81200-3323789,__import__.supplier_81200,12.66,__import__.product_3323789_product_template,1,40172
__import__.supplierinfo_82595-5472683,__import__.supplier_82595,10.61,__import__.product_5472683_product_template,1,472683
__import__.supplierinfo_83215-5105103,__import__.supplier_83215,110.00,__import__.product_5105103_product_template,1,BATTERY FOR RKU
__import__.supplierinfo_83300-3541737,__import__.supplier_83300,48.33,__import__.product_3541737_product_template,1,
__import__.supplierinfo_83300-3606761,__import__.supplier_83300,53.51,__import__.product_3606761_product_template,1,
__import__.supplierinfo_95150-8888214,__import__.supplier_95150,0,__import__.product_8888214_product_template,1,
