id,list_price
__import__.product_1151519,27.20
__import__.product_1201519,26.17
__import__.product_1201524,26.17
__import__.product_1300015,24.45
__import__.product_1300120,13.56
__import__.product_1301524,26.17
__import__.product_1351524,29.67
__import__.product_1351530,29.67
__import__.product_1400015,30.57
__import__.product_1400148,33.19
__import__.product_1401536,29.69
__import__.product_1500025,37.01
__import__.product_1500148,33.19
__import__.product_2350120,13.56
__import__.product_2500137,14.24
__import__.product_3351530,36.36
__import__.product_4201524,16.40
__import__.product_5000115,36.68
__import__.product_5012616,31.37
__import__.product_5016310,36.44
__import__.product_5016326,36.44
__import__.product_5016336,31.50
__import__.product_5021516,31.59
__import__.product_5021519,31.50
__import__.product_5021520,31.50
__import__.product_5021524,31.50
__import__.product_5021620,31.50
__import__.product_5021621,30.57
__import__.product_5021622,31.37
__import__.product_5021626,32.18
__import__.product_5021628,32.38
__import__.product_5021630,33.78
__import__.product_5022027,31.50
__import__.product_5023026,31.50
__import__.product_5058981,35.06
__import__.product_5101512,26.80
__import__.product_5101519,26.80
__import__.product_5112015,22.42
__import__.product_5112117,25.35
__import__.product_5113005,24.45
__import__.product_5113153,26.17
__import__.product_5113156,26.17
__import__.product_5115117,26.80
__import__.product_5116015,37.69
__import__.product_5120126,26.80
__import__.product_5130024,35.06
__import__.product_5130026,28.86
__import__.product_5130126,32.10
__import__.product_5130130,32.70
__import__.product_5132122,32.19
__import__.product_5132126,31.46
__import__.product_5134016,31.40
__import__.product_5134019,32.92
__import__.product_5134036,36.88
__import__.product_5134540,36.36
__import__.product_5135017,27.99
__import__.product_5135019,31.40
__import__.product_5135022,31.22
__import__.product_5135540,36.88
__import__.product_5140140,27.41
__import__.product_5140154,31.50
__import__.product_5140541,25.74
__import__.product_5140542,57.92
__import__.product_5140543,21.45
__import__.product_5150122,27.20
__import__.product_5150217,26.80
__import__.product_5151536,30.70
__import__.product_5158548,62.21
__import__.product_5160512,35.49
__import__.product_5161512,35.61
__import__.product_5163516,35.58
__import__.product_5164016,36.97
__import__.product_5164018,31.50
__import__.product_5167113,29.87
__import__.product_5191519,15.33
__import__.product_5191524,15.11
__import__.product_5192346,19.31
__import__.product_5201519,15.12
__import__.product_5220015,14.54
__import__.product_5235015,14.54
__import__.product_5241524,15.80
__import__.product_5251524,16.45
__import__.product_5301519,12.88
__import__.product_5301524,12.88
__import__.product_5302160,12.88
__import__.product_5320512,31.40
__import__.product_5320519,33.78
__import__.product_5320524,33.78
__import__.product_5330130,35.19
__import__.product_5330136,35.36
__import__.product_5335019,4.52
__import__.product_5335436,36.36
__import__.product_5350015,26.50
__import__.product_5350024,15.80
__import__.product_5350126,28.86
__import__.product_5350130,28.86
__import__.product_5350313,31.45
__import__.product_5350327,53.63
__import__.product_5351519,26.17
__import__.product_5351524,36.36
__import__.product_5351536,29.67
__import__.product_5400015,14.54
__import__.product_5400026,20.15
__import__.product_5400027,23.60
__import__.product_5401540,29.69
__import__.product_5420145,22.85
__import__.product_5420146,16.33
__import__.product_5420148,16.33
__import__.product_5420151,16.33
__import__.product_5420153,17.15
__import__.product_5420155,17.15
__import__.product_5500137,14.24
__import__.product_5530126,11.00
__import__.product_5530140,11.05
__import__.product_5531524,12.94
__import__.product_5760305,52.38
__import__.product_5760306,52.38
__import__.product_5760307,54.28
__import__.product_5760308,53.74
__import__.product_5760309,54.83
__import__.product_5760310,58.38
__import__.product_5760311,47.48
__import__.product_5760312,47.48
__import__.product_5760313,41.91
__import__.product_5760314,41.91
__import__.product_5760315,47.77
__import__.product_5760316,50.75
__import__.product_5760317,51.30
__import__.product_5760318,54.28
__import__.product_5760319,14.25
__import__.product_5760320,14.25
__import__.product_5760321,15.71
__import__.product_5760322,15.71
__import__.product_5760323,13.19
__import__.product_5760324,43.94
__import__.product_5760325,13.10
__import__.product_5760326,43.66
__import__.product_5760327,17.84
__import__.product_5760328,59.46
__import__.product_5760329,17.84
__import__.product_5760330,59.46
__import__.product_5760331,56.19
__import__.product_5760332,55.64
__import__.product_5760333,55.10
__import__.product_5760336,33.35
__import__.product_5760337,35.37
__import__.product_5760338,33.35
__import__.product_5760339,35.37
__import__.product_5760340,107.11
__import__.product_5760341,134.29
__import__.product_5760346,40.86
__import__.product_5760347,41.90
__import__.product_5760348,47.73
__import__.product_5760349,54.28
__import__.product_5760350,12.46
__import__.product_5760354,37.26
__import__.product_5760360,59.01
__import__.product_5760362,59.31
__import__.product_5760363,57.06
__import__.product_5760364,59.31
__import__.product_5760365,57.06
__import__.product_5760366,59.01
__import__.product_5760367,57.06
__import__.product_5760370,68.32
__import__.product_5760371,72.35
__import__.product_5760391,59.01
__import__.product_5760393,57.06
__import__.product_5760397,63.41
__import__.product_5760399,67.39
__import__.product_5760401,59.31
__import__.product_5760416,49.73
__import__.product_5760417,48.40
__import__.product_5760418,56.06
__import__.product_5776181,70.95
__import__.product_5776183,58.32
__import__.product_5776184,78.94
__import__.product_5776185,80.88
__import__.product_5776186,73.67
__import__.product_5776187,59.49
__import__.product_5776188,69.58
__import__.product_5776189,56.64
__import__.product_5776190,56.64
__import__.product_5776191,133.48
__import__.product_5776192,27.85
__import__.product_5910002,31.45
__import__.product_5910003,29.20
__import__.product_5910005,31.45
__import__.product_5910006,30.73
__import__.product_5910007,31.45
__import__.product_5910008,29.87
__import__.product_5910020,32.96
__import__.product_5910021,29.20
__import__.product_5910022,29.66
__import__.product_5910023,28.53
__import__.product_5910024,28.53
__import__.product_5910027,29.20
__import__.product_5910030,28.53
__import__.product_5910035,96.53
__import__.product_5910036,96.53
__import__.product_5910037,96.53
__import__.product_5910039,32.96
__import__.product_5910120,29.54
__import__.product_5910121,24.65
__import__.product_5910122,26.90
__import__.product_5910123,29.14
__import__.product_5910125,32.35
__import__.product_5910136,30.64
__import__.product_5910185,62.21
__import__.product_5911023,28.53
__import__.product_5911024,28.53
__import__.product_5911025,30.64
__import__.product_5912017,27.63
__import__.product_5916401,25.98
__import__.product_5916500,28.33
__import__.product_5916501,30.42
__import__.product_5916525,48.76
__import__.product_5920026,13.56
__import__.product_5920050,26.80
__import__.product_5920051,62.21
__import__.product_5920060,25.35
__import__.product_5920119,12.86
__import__.product_5920124,12.86
__import__.product_5920136,27.41
__import__.product_5920151,62.21
__import__.product_5920153,12.88
__import__.product_5921512,15.57
__import__.product_5921524,15.80
__import__.product_5925119,12.83
__import__.product_5931440,34.65
__import__.product_7058414,31.50
__import__.product_7401530,15.52
__import__.product_7760306,74.15
__import__.product_7760307,86.75
__import__.product_7760344,83.46
__import__.product_7760345,89.81
__import__.product_7920017,13.56
