id,box,kind,name,zone,bin_checksum_1,location_id/id,corridor,shelf,height
__import__.location_loc_EZZ800,00,bin,EZZ800,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EZZ804,04,bin,EZZ804,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EXD205,05,bin,EXD205,E,,__import__.location_family_E,X,D,2
__import__.location_loc_EZZ606,06,bin,EZZ606,E,,__import__.location_family_E,Z,Z,6
__import__.location_loc_EZZ008,08,bin,EZZ008,E,,__import__.location_family_E,Z,Z,0
__import__.location_loc_EZZ118,18,bin,EZZ118,E,,__import__.location_family_E,Z,Z,1
__import__.location_loc_EZZ819,19,bin,EZZ819,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EZZ020,20,bin,EZZ020,E,,__import__.location_family_E,Z,Z,0
__import__.location_loc_EZZ031,31,bin,EZZ031,E,,__import__.location_family_E,Z,Z,0
__import__.location_loc_EZZ732,32,bin,EZZ732,E,,__import__.location_family_E,Z,Z,7
__import__.location_loc_EZZ039,39,bin,EZZ039,E,,__import__.location_family_E,Z,Z,0
__import__.location_loc_EZZ640,40,bin,EZZ640,E,,__import__.location_family_E,Z,Z,6
__import__.location_loc_EZZ341,41,bin,EZZ341,E,,__import__.location_family_E,Z,Z,3
__import__.location_loc_EZZ344,44,bin,EZZ344,E,,__import__.location_family_E,Z,Z,3
__import__.location_loc_EZZ252,52,bin,EZZ252,E,,__import__.location_family_E,Z,Z,2
__import__.location_loc_EZZ360,60,bin,EZZ360,E,,__import__.location_family_E,Z,Z,3
__import__.location_loc_EZZ761,61,bin,EZZ761,E,,__import__.location_family_E,Z,Z,7
__import__.location_loc_EZZ174,74,bin,EZZ174,E,,__import__.location_family_E,Z,Z,1
__import__.location_loc_EZZ275,75,bin,EZZ275,E,,__import__.location_family_E,Z,Z,2
__import__.location_loc_EZZ877,77,bin,EZZ877,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EZZ585,85,bin,EZZ585,E,,__import__.location_family_E,Z,Z,5
__import__.location_loc_EZZ989,89,bin,EZZ989,E,,__import__.location_family_E,Z,Z,9
__import__.location_loc_EZZ690,90,bin,EZZ690,E,,__import__.location_family_E,Z,Z,6
__import__.location_loc_EZZ007,07,bin,EZZ007,E,00,__import__.location_family_E,Z,Z,0
__import__.location_loc_GA03B1,1,bin,GA03B1,G,00,__import__.location_family_G,A,03,B
__import__.location_loc_GA09C1,1,bin,GA09C1,G,00,__import__.location_family_G,A,09,C
__import__.location_loc_GB24B1,1,bin,GB24B1,G,00,__import__.location_family_G,B,24,B
__import__.location_loc_GB26C1,1,bin,GB26C1,G,00,__import__.location_family_G,B,26,C
__import__.location_loc_GB09E1,1,bin,GB09E1,G,00,__import__.location_family_G,B,09,E
__import__.location_loc_GG21B1,1,bin,GG21B1,G,00,__import__.location_family_G,G,21,B
__import__.location_loc_GG21D1,1,bin,GG21D1,G,00,__import__.location_family_G,G,21,D
__import__.location_loc_GA07B2,2,bin,GA07B2,G,00,__import__.location_family_G,A,07,B
__import__.location_loc_GB10A2,2,bin,GB10A2,G,00,__import__.location_family_G,B,10,A
__import__.location_loc_GB05B2,2,bin,GB05B2,G,00,__import__.location_family_G,B,05,B
__import__.location_loc_GB02D2,2,bin,GB02D2,G,00,__import__.location_family_G,B,02,D
__import__.location_loc_GG08B2,2,bin,GG08B2,G,00,__import__.location_family_G,G,08,B
__import__.location_loc_GG21C2,2,bin,GG21C2,G,00,__import__.location_family_G,G,21,C
__import__.location_loc_GG12D2,2,bin,GG12D2,G,00,__import__.location_family_G,G,12,D
__import__.location_loc_GG05E2,2,bin,GG05E2,G,00,__import__.location_family_G,G,05,E
__import__.location_loc_GB29B3,3,bin,GB29B3,G,00,__import__.location_family_G,B,29,B
__import__.location_loc_GB18D3,3,bin,GB18D3,G,00,__import__.location_family_G,B,18,D
__import__.location_loc_GB02E3,3,bin,GB02E3,G,00,__import__.location_family_G,B,02,E
__import__.location_loc_GG20A3,3,bin,GG20A3,G,00,__import__.location_family_G,G,20,A
__import__.location_loc_GG19C3,3,bin,GG19C3,G,00,__import__.location_family_G,G,19,C
__import__.location_loc_GG06D3,3,bin,GG06D3,G,00,__import__.location_family_G,G,06,D
__import__.location_loc_GB13D4,4,bin,GB13D4,G,00,__import__.location_family_G,B,13,D
__import__.location_loc_GG10B4,4,bin,GG10B4,G,00,__import__.location_family_G,G,10,B
__import__.location_loc_GG10D4,4,bin,GG10D4,G,00,__import__.location_family_G,G,10,D
__import__.location_loc_GB10C5,5,bin,GB10C5,G,00,__import__.location_family_G,B,10,C
__import__.location_loc_GB17C5,5,bin,GB17C5,G,00,__import__.location_family_G,B,17,C
__import__.location_loc_GB04D5,5,bin,GB04D5,G,00,__import__.location_family_G,B,04,D
__import__.location_loc_GG01B5,5,bin,GG01B5,G,00,__import__.location_family_G,G,01,B
__import__.location_loc_GG03C5,5,bin,GG03C5,G,00,__import__.location_family_G,G,03,C
__import__.location_loc_GB01A6,6,bin,GB01A6,G,00,__import__.location_family_G,B,01,A
__import__.location_loc_GB09C6,6,bin,GB09C6,G,00,__import__.location_family_G,B,09,C
__import__.location_loc_GB05E6,6,bin,GB05E6,G,00,__import__.location_family_G,B,05,E
__import__.location_loc_GB25E6,6,bin,GB25E6,G,00,__import__.location_family_G,B,25,E
__import__.location_loc_GB25A8,8,bin,GB25A8,G,00,__import__.location_family_G,B,25,A
__import__.location_loc_GG03A8,8,bin,GG03A8,G,00,__import__.location_family_G,G,03,A
__import__.location_loc_GG05C8,8,bin,GG05C8,G,00,__import__.location_family_G,G,05,C
__import__.location_loc_GB21E9,9,bin,GB21E9,G,00,__import__.location_family_G,B,21,E
__import__.location_loc_GA11D1,1,bin,GA11D1,G,01,__import__.location_family_G,A,11,D
__import__.location_loc_GB20B1,1,bin,GB20B1,G,01,__import__.location_family_G,B,20,B
__import__.location_loc_GG02D1,1,bin,GG02D1,G,01,__import__.location_family_G,G,02,D
__import__.location_loc_GG01G1,1,bin,GG01G1,G,01,__import__.location_family_G,G,01,G
__import__.location_loc_GB26D2,2,bin,GB26D2,G,01,__import__.location_family_G,B,26,D
__import__.location_loc_GG12B2,2,bin,GG12B2,G,01,__import__.location_family_G,G,12,B
__import__.location_loc_GG19G2,2,bin,GG19G2,G,01,__import__.location_family_G,G,19,G
__import__.location_loc_GB14B3,3,bin,GB14B3,G,01,__import__.location_family_G,B,14,B
