id,orderpoint_min,orderpoint_max
__import__.product_0063784,200.000,400.000
__import__.product_0383406,4.000,8.000
__import__.product_0817031,30.000,80.000
__import__.product_1004430,3.000,8.000
__import__.product_1015390,2.000,2.000
__import__.product_1015410,2.000,2.000
__import__.product_1015420,2.000,2.000
__import__.product_1015440,2.000,2.000
__import__.product_1230033,4.000,8.000
__import__.product_1250834,1.000,2.000
__import__.product_1357235,400.000,904.000
__import__.product_2087088,560.000,1040.000
__import__.product_2101780,3.000,9.000
__import__.product_2281053,35.000,82.000
__import__.product_2617256,10.000,20.000
__import__.product_2716850,36.000,72.000
__import__.product_2737609,1.000,2.000
__import__.product_2737625,1.000,2.000
__import__.product_2811396,20.000,40.000
__import__.product_2926251,2.000,4.000
__import__.product_2951499,100.000,240.000
__import__.product_2951507,12.000,30.000
__import__.product_2972289,75.000,200.000
__import__.product_3020674,6.000,12.000
__import__.product_3047305,12.000,30.000
__import__.product_3087343,35.000,75.000
__import__.product_3116837,20.000,44.000
__import__.product_3179181,24.000,87.000
__import__.product_3204906,48.000,96.000
__import__.product_3233772,6.000,12.000
__import__.product_3256120,25.000,45.000
__import__.product_3265600,100.000,180.000
__import__.product_3280914,40.000,80.000
__import__.product_3323797,24.000,36.000
__import__.product_3341849,24.000,48.000
__import__.product_3401825,40.000,80.000
__import__.product_3407400,12.000,24.000
__import__.product_3420452,30.000,60.000
__import__.product_3420478,25.000,50.000
__import__.product_3420486,10.000,20.000
__import__.product_3439619,5.000,10.000
__import__.product_3449121,60.000,120.000
__import__.product_3535580,6.000,10.000
__import__.product_3606720,0,1.000
__import__.product_3621174,12.000,22.000
__import__.product_3641982,24.000,48.000
__import__.product_3679719,30.000,60.000
__import__.product_3679727,2.000,4.000
__import__.product_5033095,25.000,50.000
__import__.product_5156516,1.000,2.000
__import__.product_5611549,5.000,10.000
__import__.product_5810470,20.000,60.000
__import__.product_5823447,36.000,80.000
__import__.product_6355020,5.000,10.000
__import__.product_6733353,50.000,100.000
__import__.product_6819273,50.000,100.000
__import__.product_7384001,1.000,2.000
__import__.product_7920021,50.000,100.000
__import__.product_7920036,15.000,30.000
__import__.product_8069244,1.000,2.000
__import__.product_8207114,1.000,2.000
__import__.product_8207120,1.000,2.000
__import__.product_8258175,1.000,2.000
__import__.product_8379944,1.000,2.000
__import__.product_8382998,1.000,2.000
__import__.product_8458336,200.000,300.000
