id,ratio_main_product,date_start,name/id,ratio_promotional_product,price,product_tmpl_id/id,min_qty_sale,discount_sale,date_end,product_code,discount_purchase
__import__.supplierinfo_promo_79200-5181530-20180501,0,2018-05-01,__import__.supplier_79200,0,10.57,__import__.product_5181530_product_template,1,20.00,2018-05-30,5301530,20.00
__import__.supplierinfo_promo_63645-5051470-20180501,0,2018-05-01,__import__.supplier_63645,0,55.30,__import__.product_5051470_product_template,1,10.00,2018-05-31,ANT01A,10.00
__import__.supplierinfo_promo_66906-2435105-20180501,0,2018-05-01,__import__.supplier_66906,0,5.89,__import__.product_2435105_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_66906-2604965-20180501,0,2018-05-01,__import__.supplier_66906,0,3.10,__import__.product_2604965_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_66906-2838878-20180501,0,2018-05-01,__import__.supplier_66906,0,16.27,__import__.product_2838878_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_66906-2907335-20180501,0,2018-05-01,__import__.supplier_66906,0,5.25,__import__.product_2907335_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_66906-3022613-20180501,0,2018-05-01,__import__.supplier_66906,0,20.40,__import__.product_3022613_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_66906-3052362-20180501,0,2018-05-01,__import__.supplier_66906,0,8.67,__import__.product_3052362_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_66906-3052370-20180501,0,2018-05-01,__import__.supplier_66906,0,10.82,__import__.product_3052370_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_66906-3052388-20180501,0,2018-05-01,__import__.supplier_66906,0,8.92,__import__.product_3052388_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_66906-3338969-20180501,0,2018-05-01,__import__.supplier_66906,0,6.40,__import__.product_3338969_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_74330-5021420-20180501,0,2018-05-01,__import__.supplier_74330,0,8.63,__import__.product_5021420_product_template,1,10.00,2018-05-31,50PLNSFF GRAVITY,10.00
__import__.supplierinfo_promo_79100-1183375-20180501,0,2018-05-01,__import__.supplier_79100,0,25.89,__import__.product_1183375_product_template,1,10.00,2018-05-31,801360L,10.00
__import__.supplierinfo_promo_79100-3410164-20180501,0,2018-05-01,__import__.supplier_79100,0,92.06,__import__.product_3410164_product_template,1,10.00,2018-05-31,3410164,10.00
__import__.supplierinfo_promo_79100-3410172-20180501,0,2018-05-01,__import__.supplier_79100,0,89.18,__import__.product_3410172_product_template,1,10.00,2018-05-31,3410172,10.00
__import__.supplierinfo_promo_83300-1273176-20180501,0,2018-05-01,__import__.supplier_83300,0,20.54,__import__.product_1273176_product_template,1,10.00,2018-05-31,,10.00
__import__.supplierinfo_promo_62779-4062182-20180501,0,2018-05-01,__import__.supplier_62779,0,0.61,__import__.product_4062182_product_template,1,15.00,2018-05-31,4062182,15.00
__import__.supplierinfo_promo_62779-4064007-20180501,0,2018-05-01,__import__.supplier_62779,0,0.57,__import__.product_4064007_product_template,1,15.00,2018-05-31,4064007,15.00
__import__.supplierinfo_promo_62779-4064009-20180501,0,2018-05-01,__import__.supplier_62779,0,0.70,__import__.product_4064009_product_template,1,15.00,2018-05-31,4064009,15.00
__import__.supplierinfo_promo_66906-1180033-20180501,0,2018-05-01,__import__.supplier_66906,0,54.96,__import__.product_1180033_product_template,1,15.00,2018-05-31,1594506,15.00
__import__.supplierinfo_promo_66906-2604957-20180501,0,2018-05-01,__import__.supplier_66906,0,19.08,__import__.product_2604957_product_template,1,15.00,2018-05-31,,15.00
__import__.supplierinfo_promo_66906-2853273-20180501,0,2018-05-01,__import__.supplier_66906,0,173.65,__import__.product_2853273_product_template,1,15.00,2018-05-31,,15.00
__import__.supplierinfo_promo_66906-3085313-20180501,0,2018-05-01,__import__.supplier_66906,0,34.00,__import__.product_3085313_product_template,1,15.00,2018-05-31,,15.00
__import__.supplierinfo_promo_66906-3085321-20180501,0,2018-05-01,__import__.supplier_66906,0,76.50,__import__.product_3085321_product_template,1,15.00,2018-05-31,,15.00
