id,location_id/id,product_id/id,bin_location_id/id
__import__.product_stock_bin_5221084,stock.stock_location_stock,__import__.product_5221084_product_template,__import__.location_loc_AD01A0
__import__.product_stock_bin_5221063,stock.stock_location_stock,__import__.product_5221063_product_template,__import__.location_loc_AD02B2
__import__.product_stock_bin_5221083,stock.stock_location_stock,__import__.product_5221083_product_template,__import__.location_loc_AL05B4
__import__.product_stock_bin_5221064,stock.stock_location_stock,__import__.product_5221064_product_template,__import__.location_loc_AM05A1
__import__.product_stock_bin_5603553,stock.stock_location_stock,__import__.product_5603553_product_template,__import__.location_loc_AN03A6
__import__.product_stock_bin_5810707,stock.stock_location_stock,__import__.product_5810707_product_template,__import__.location_loc_AN05A2
__import__.product_stock_bin_5314112,stock.stock_location_stock,__import__.product_5314112_product_template,__import__.location_loc_AZZ112
__import__.product_stock_bin_5472683,stock.stock_location_stock,__import__.product_5472683_product_template,__import__.location_loc_AZZ145
__import__.product_stock_bin_1006240,stock.stock_location_stock,__import__.product_1006240_product_template,__import__.location_loc_EXD205
__import__.product_stock_bin_6450007,stock.stock_location_stock,__import__.product_6450007_product_template,__import__.location_loc_EZZ007
__import__.product_stock_bin_5203008,stock.stock_location_stock,__import__.product_5203008_product_template,__import__.location_loc_EZZ008
__import__.product_stock_bin_1048020,stock.stock_location_stock,__import__.product_1048020_product_template,__import__.location_loc_EZZ020
__import__.product_stock_bin_8197031,stock.stock_location_stock,__import__.product_8197031_product_template,__import__.location_loc_EZZ031
__import__.product_stock_bin_5227039,stock.stock_location_stock,__import__.product_5227039_product_template,__import__.location_loc_EZZ039
__import__.product_stock_bin_8256118,stock.stock_location_stock,__import__.product_8256118_product_template,__import__.location_loc_EZZ118
__import__.product_stock_bin_8203174,stock.stock_location_stock,__import__.product_8203174_product_template,__import__.location_loc_EZZ174
__import__.product_stock_bin_8379252,stock.stock_location_stock,__import__.product_8379252_product_template,__import__.location_loc_EZZ252
__import__.product_stock_bin_8379275,stock.stock_location_stock,__import__.product_8379275_product_template,__import__.location_loc_EZZ275
__import__.product_stock_bin_5760341,stock.stock_location_stock,__import__.product_5760341_product_template,__import__.location_loc_EZZ341
__import__.product_stock_bin_8246344,stock.stock_location_stock,__import__.product_8246344_product_template,__import__.location_loc_EZZ344
__import__.product_stock_bin_1045360,stock.stock_location_stock,__import__.product_1045360_product_template,__import__.location_loc_EZZ360
__import__.product_stock_bin_8060585,stock.stock_location_stock,__import__.product_8060585_product_template,__import__.location_loc_EZZ585
__import__.product_stock_bin_8036606,stock.stock_location_stock,__import__.product_8036606_product_template,__import__.location_loc_EZZ606
