id,description_picking
__import__.product_1250936,A
__import__.product_2977759,A
__import__.product_4004130,A
__import__.product_4004131,A
__import__.product_4004132,A
__import__.product_4004133,A
__import__.product_4004134,A
__import__.product_5012150,A
__import__.product_5103000,A
__import__.product_5331711,A
__import__.product_5331721,A
__import__.product_5331731,A
__import__.product_5332150,A
__import__.product_5332350,A
__import__.product_5332650,A
__import__.product_5332850,A
__import__.product_5336030,A
__import__.product_5811141,A
__import__.product_1020180,E
__import__.product_5000719,E
__import__.product_5105103,E
__import__.product_5171530,E
__import__.product_5180850,E
__import__.product_5268505,E
__import__.product_5600515,E
__import__.product_5620888,E
__import__.product_5910038,E
__import__.product_7103200,E
__import__.product_8205078,E
__import__.product_8224621,E
__import__.product_8252853,E
__import__.product_8256354,E
__import__.product_8368685,E
__import__.product_8369710,E
__import__.product_8370239,E
__import__.product_8370297,E
__import__.product_8370736,E
__import__.product_8375225,E
__import__.product_8375231,E
__import__.product_8375277,E
__import__.product_8382202,E
__import__.product_0027904,G
__import__.product_0320124,G
__import__.product_2550531,G
__import__.product_3323771,G
__import__.product_3323789,G
__import__.product_3541737,G
__import__.product_3606761,G
__import__.product_3643525,G
__import__.product_3643533,G
__import__.product_3643541,G
__import__.product_3664174,G
__import__.product_3664182,G
__import__.product_5116025,G
__import__.product_5118015,G
__import__.product_5181524,G
__import__.product_5181530,G
__import__.product_5197062,G
__import__.product_5430051,G
__import__.product_5430910,G
__import__.product_5431610,G
__import__.product_5432159,G
__import__.product_5433307,G
__import__.product_5437222,G
__import__.product_5437299,G
__import__.product_5437399,G
__import__.product_5438299,G
__import__.product_5610558,G
__import__.product_5610583,G
__import__.product_5611509,G
__import__.product_5764023,G
__import__.product_5840345,G
__import__.product_5840346,G
__import__.product_5841250,G
__import__.product_6446027,G
__import__.product_6831742,G
__import__.product_6965170,G
__import__.product_8201867,G
__import__.product_8270523,G
__import__.product_1037720,Q
__import__.product_8292350,Q
