id,state_id/id
__import__.product_0315127,
__import__.product_2064558,
__import__.product_2268878,
__import__.product_2680544,
__import__.product_2710507,specific_purchase.product_state_h
__import__.product_2923712,
__import__.product_4007024,specific_purchase.product_state_h
__import__.product_4007225,specific_purchase.product_state_h
__import__.product_4008021,specific_purchase.product_state_h
__import__.product_4500405,specific_purchase.product_state_h
__import__.product_5398401,
__import__.product_5450047,
__import__.product_5802742,
__import__.product_5821884,
__import__.product_5822830,
__import__.product_5962645,specific_purchase.product_state_h
__import__.product_6450007,
__import__.product_6722214,
__import__.product_6825341,specific_purchase.product_state_h
__import__.product_6827565,
__import__.product_6959229,
__import__.product_8058298,
