id,comment
__import__.customer_3992,"Si absente: déposer colis dans coffre noir à gauche de la
barrière grise. Code cadenas: 110"
__import__.customer_4416,Livraison: 7h-16h30.
__import__.customer_4656,Nouvelle adresse de livraison! Clé plus utilisable!
__import__.customer_5331,"Passer à la ferme chercher le double des clés
Pour livrer les frigos: aller dans l'avant dernière pièce
et utiliser le frigo dans le local de chirurgie. ATTENTION
ne pas déspoer dans un autre frido (débranché!)"
__import__.customer_6949,Si absente: deposer devant la porte
__import__.customer_7624,Livraison chez le Dr SIMON Anne-Francoise
__import__.customer_8261,T42
__import__.customer_9083,"GSM véto: 0472/635794
Si absent: déposer dans le garage à gauche de la maison."
__import__.customer_9116,T42
__import__.customer_9257,"Si absent: déposer colis à droite dans le garage. Si garage
fermé déposer devant la porte du garage."
__import__.customer_9420,"Si absent: Déposer commande à droite du bâtiment sous
l'abris (aussi colis frigo)"
