id,customer_payment_mode_id/id,alcyon_category_id/id,category_id/id,property_product_pricelist/id
__import__.customer_2115,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2116,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2118,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2121,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2122,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2124,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2125,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2130,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2131,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2136,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2139,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2141,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2144,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2145,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2147,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2148,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2150,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2151,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2154,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2156,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2157,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2158,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2159,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2161,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2162,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2167,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2169,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_2171,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_8790,__setup__.account_payment_mode_1,specific_partner.partner_category_pharmacy,__setup__.customer_category_pharma_sante,specific_data.product_pricelist_pb1
__import__.customer_88,,specific_partner.partner_category_pharmacy,__setup__.customer_category_epece,specific_data.product_pricelist_pb1
