id,date_end
__import__.supplierinfo_promo_66906-0840892-20181001,2018-11-30
__import__.supplierinfo_promo_66906-1180033-20181001,2018-11-30
__import__.supplierinfo_promo_66906-1351469-20180801,2018-11-30
__import__.supplierinfo_promo_66906-1778109-20180901,2018-11-30
__import__.supplierinfo_promo_66906-1778117-20180901,2018-11-30
__import__.supplierinfo_promo_66906-1778125-20180901,2018-11-30
__import__.supplierinfo_promo_66906-1778133-20180901,2018-11-30
__import__.supplierinfo_promo_66906-1778141-20180901,2018-11-30
__import__.supplierinfo_promo_66906-1778158-20180901,2018-11-30
__import__.supplierinfo_promo_66906-2249589-20130801,2018-11-30
__import__.supplierinfo_promo_66906-2249597-20141001,2018-11-30
__import__.supplierinfo_promo_66906-2249605-20141001,2018-11-30
__import__.supplierinfo_promo_66906-2249613-20130801,2018-11-30
__import__.supplierinfo_promo_66906-2249621-20130801,2018-11-30
__import__.supplierinfo_promo_66906-2249639-20130801,2018-11-30
__import__.supplierinfo_promo_66906-2281061-20180901,2018-11-30
__import__.supplierinfo_promo_66906-2518827-20130801,2018-11-30
__import__.supplierinfo_promo_66906-2518835-20161101,2018-11-30
__import__.supplierinfo_promo_66906-2518850-20181001,2018-11-30
__import__.supplierinfo_promo_66906-2543031-20181001,2018-11-30
__import__.supplierinfo_promo_66906-2543049-20181001,2018-11-30
__import__.supplierinfo_promo_66906-2604965-20180901,2018-11-30
__import__.supplierinfo_promo_66906-2604973-20181001,2018-11-30
__import__.supplierinfo_promo_66906-2604981-20180701,2018-11-30
__import__.supplierinfo_promo_66906-2658615-20180601,2018-11-30
__import__.supplierinfo_promo_66906-2794212-20180501,2018-11-30
__import__.supplierinfo_promo_66906-2837243-20180801,2018-11-30
__import__.supplierinfo_promo_66906-2837250-20180801,2018-11-30
__import__.supplierinfo_promo_66906-2837268-20150313,2018-11-30
__import__.supplierinfo_promo_66906-2853265-20180901,2018-11-30
__import__.supplierinfo_promo_66906-2853273-20180901,2018-11-30
__import__.supplierinfo_promo_66906-2907335-20181001,2018-11-30
__import__.supplierinfo_promo_66906-2919918-20180201,2018-11-30
__import__.supplierinfo_promo_66906-2941029-20181001,2018-11-30
__import__.supplierinfo_promo_66906-2997674-20160201,2018-11-30
__import__.supplierinfo_promo_66906-3022613-20180501,2018-11-30
__import__.supplierinfo_promo_66906-3045580-20181001,2018-11-30
__import__.supplierinfo_promo_66906-3057171-20180117,2018-11-30
